relvolume,open,high,low,symbol,percentchange,price,watchers,hourchange,sentiment
0.2233,475.72,474.875,469.59,NOC,-0.6242,471.22,8044,0,-3.33
0.4284,285.01,285.925,283.0608,MSFT,-0.1101,285.795,443718,1,-0.92
0.5066,269.52,271.44,267.2301,NVDA,-0.2029,270.49,422044,1,-0.09
0.321,223.75,226.515,219.9,ENPH,0.6006,226.14,37485,3,3.89
0.4106,210.21,212.98,209.76,META,-0.1502,212.75,513008,-4,-2.9
0.5952,164.8,166.0,161.33,TSLA,1.6075,165.61,892711,19,-1.2
0.5675,165.05,166.45,164.5,AAPL,-0.9391,165.085,16,0,-2.86
0.4325,139.74,140.7399,138.78,JPM,-0.142,140.61,82977,0,-5.1
0.2768,129.05,130.12,129.0,EA,0.2446,129.115,20703,-1,0.0
0.8145,126.0,126.69,125.27,IBM,-0.5381,125.68,51485,0,-0.26
0.936,106.1,107.985,105.08,AMZN,3.7906,107.745,588911,8,-1.48
0.3878,105.47,106.0,104.79,GOOGL,0.0997,105.395,160600,1,0.58
0.4887,91.87,92.3,91.61,SONY,0.9958,92.29,2089,0,0.0
0.4653,89.8,89.72,88.43,AMD,-1.3872,88.86,456940,0,0.71
0.2996,30.84,30.79,30.225,INTC,-1.442,30.415,131291,0,0.72
0.1706,7.97,8.28,7.735,CVNA,2.875,8.23,23270,-2,-7.12
0.3216,5.9,5.99,5.85,SOFI,0.1689,5.93,91965,0,-0.7
0.2568,4.94,5.07,4.91,AMC,-0.171,4.9615,413190,0,-0.91
