high,price,open,low,symbol,percentchange,relvolume,watchers,hourchange,sentiment
271.67,267.79,270.31,263.55,NVDA,-1.5152,0.8619,420200,-2,-1.14
8.47,8.19,8.18,7.95,CVNA,-1.9162,0.2716,23417,0,-0.45
99.52,97.95,99.18,96.74,AMD,-2.3235,1.0179,456184,0,-2.61
125.4,125.29,123.36,122.88,IBM,1.5563,0.6283,51329,2,-2.11
160.34,160.25,158.86,157.85,AAPL,0.8306,0.6983,876397,-6,-1.19
280.63,280.57,277.24,275.3,MSFT,1.048,0.7429,442258,0,0.35
456.2,455.25,445.08,443.105,NOC,2.4323,0.7919,8012,0,-10.23
119.205,119.03,118.08,117.61,EA,2.5767,0.8715,20720,0,0.0
5.83,5.74,5.675,5.645,SOFI,-0.692,0.4643,91708,1,-0.29
4.54,4.47,4.4,4.38,AMC,0.0,0.283,411927,-1,0.25
29.81,29.36,29.04,28.93,INTC,1.1368,1.0801,130869,2,-2.26
98.295,98.13,98.065,96.4,AMZN,-0.5876,0.6949,587053,0,-0.92
207.574,206.01,205.18,203.55,META,0.8469,0.7884,512051,0,2.97
192.36,190.41,191.65,187.15,TSLA,-0.9416,0.6231,889287,2,-1.2
105.49,105.44,104.99,103.84,GOOGL,-0.1515,0.6651,159720,0,-3.37
88.3,87.53,88.3,86.96,SONY,-0.8383,1.3895,2082,0,0.0
203.55,195.99,202.35,192.46,ENPH,-4.2363,0.8771,37276,1,4.64
125.68,124.91,125.63,123.11,JPM,-1.5216,1.496,82376,5,-0.01
