symbol,high,low,percentchange,price,open,relvolume,watchers,hourchange,sentiment
NOC,463.4,459.45,-0.0065,460.95,462.98,0.2548,8026,0,0.0
MSFT,287.96,283.03,1.3272,287.82,283.73,0.5471,442653,11,3.21
NVDA,278.34,271.05,0.8911,276.27,271.4,0.6512,420625,17,5.53
META,210.7,206.77,1.352,210.65,207.24,0.5268,512341,11,6.72
ENPH,212.12,205.81,1.8512,209.07,206.02,0.436,37334,0,-0.22
TSLA,207.79,197.23,6.3345,207.65,197.53,0.8173,889848,22,8.42
AAPL,164.6799,162.13,1.4103,164.6497,162.44,0.5061,876824,9,5.37
IBM,130.7,129.42,1.0602,130.59,129.47,0.3486,51346,0,-0.09
JPM,130.01,128.8514,0.7573,129.725,129.66,0.5376,82488,1,-0.83
EA,120.19,118.985,0.9152,120.19,119.38,0.5135,20709,0,-12.5
GOOGL,103.25,101.05,2.2897,103.2001,101.3,0.4813,159928,5,4.67
AMZN,103.29,101.95,1.0315,103.0521,102.16,0.4936,587477,9,2.16
AMD,97.9899,95.27,0.0664,97.945,96.34,0.7009,456396,4,3.59
SONY,90.88,89.79,1.6292,90.765,89.77,1.1752,2083,1,0.0
INTC,32.8998,31.74,2.0723,32.755,31.8,0.8202,131091,5,-0.02
CVNA,9.49,8.77,7.1914,9.465,8.9,0.3808,23358,0,3.0
SOFI,6.17,5.67,5.5944,6.04,5.75,0.9286,91781,1,0.98
AMC,5.055,4.87,-0.3018,4.955,4.91,0.3717,412473,3,-0.05
