low,price,symbol,open,relvolume,percentchange,high,watchers,hourchange,sentiment
90.73,90.97,SONY,91.0,0.5063,-0.3724,91.12,2089,0,0.0
8.295,8.63,CVNA,8.6,0.2952,-1.9318,8.8426,23282,0,-2.51
165.54,167.63,AAPL,165.8,0.6395,0.6968,168.16,878196,5,6.12
31.0828,31.15,INTC,31.1,0.4343,-2.1363,31.52,131281,0,0.65
4.92,5.1,AMC,4.95,0.3154,0.9901,5.17,413192,6,-1.0
272.32,279.31,NVDA,273.61,0.6812,0.9542,280.0,421921,0,5.2
476.2,477.07,NOC,480.46,0.4242,-0.5006,482.7909,8043,0,6.06
88.22,89.94,AMD,88.51,0.5543,0.1782,90.54,456904,-2,0.32
101.39,104.3,AMZN,101.58,0.8364,1.955,105.12,588755,1,2.63
103.07,104.18,GOOGL,103.58,0.4564,-0.3062,104.98,160557,-2,-0.2
125.3,126.32,IBM,126.5,0.9493,-1.1426,126.98,51443,0,-0.22
212.94,215.7,META,213.472,0.4728,-1.0051,217.33,512952,-2,3.2
140.4,141.22,JPM,141.23,0.5763,-0.1273,141.5,82985,-3,0.26
128.075,128.18,EA,128.58,0.3668,-0.6665,128.9,20704,0,10.0
177.65,180.59,TSLA,179.1,0.6315,-2.0183,183.5,892109,18,-2.33
284.54,288.45,MSFT,285.99,0.4744,0.0277,289.05,443653,0,5.73
5.87,6.08,SOFI,5.9,0.4953,1.6722,6.1,91972,0,1.68
222.3,224.27,ENPH,225.06,0.5032,-1.5798,228.49,37472,-2,-0.48
