percentchange,price,symbol,high,relvolume,open,low,watchers,hourchange,sentiment
1.8084,32.09,INTC,32.58,1.4198,31.85,31.81,131050,-1,6.04
-0.5217,5.72,SOFI,5.93,0.6344,5.87,5.62,91769,0,-1.27
1.8628,97.88,AMD,99.53,0.8812,98.0,97.25,456365,1,-2.53
1.7456,102.0,AMZN,103.04,0.6777,101.55,101.01,587434,-2,4.47
-0.1278,460.98,NOC,462.92,0.3938,460.46,458.5,8023,0,0.0
-0.3778,129.22,IBM,131.48,0.5487,130.16,129.1,51345,-3,8.71
-0.0755,119.1,EA,120.05,0.5217,120.0,118.85,20710,0,5.56
0.7221,195.28,TSLA,197.328,0.6092,195.58,194.42,889745,9,4.92
12.1982,8.83,CVNA,9.0,0.5721,8.08,8.0748,23367,3,-5.48
1.6388,89.31,SONY,89.53,1.4544,88.7,88.555,2082,0,0.0
1.4787,273.83,NVDA,274.99,0.6652,272.29,271.02,420569,3,4.04
1.262,284.05,MSFT,284.46,0.6427,284.23,281.5,442596,0,0.56
-0.6,4.97,AMC,5.16,0.5325,5.11,4.865,412476,-4,0.76
0.989,162.36,AAPL,162.47,0.5827,161.53,161.271,876782,0,4.8
1.2126,207.84,META,208.09,0.6432,203.38,202.85,512302,8,7.1
-0.302,128.75,JPM,130.12,0.7826,129.95,127.65,82477,3,1.17
0.6472,205.27,ENPH,214.19,0.6629,209.435,203.96,37321,0,-2.07
-0.4931,100.89,GOOGL,101.155,0.6807,100.91,99.78,159881,0,3.5
