low,percentchange,open,price,high,relvolume,symbol,watchers,hourchange,sentiment
138.78,-0.1917,139.74,140.54,141.11,0.6957,JPM,82969,0,-3.66
30.225,-1.8146,30.84,30.3,30.79,0.5032,INTC,131265,0,0.27
128.695,0.2407,129.05,129.11,130.12,0.504,EA,20700,0,25.0
125.27,-0.4986,126.0,125.73,126.69,1.0535,IBM,51479,0,1.87
267.2301,0.0553,269.52,271.19,271.83,0.644,NVDA,422022,0,1.01
164.5,-0.9781,165.05,165.02,166.45,0.7882,AAPL,878262,3,-1.71
283.0608,-0.1223,285.01,285.76,286.26,0.5756,MSFT,443705,0,-2.57
209.76,-0.0845,210.21,212.89,213.41,0.5292,META,512981,0,-1.62
105.08,3.0344,106.1,106.96,108.15,1.2806,AMZN,588921,-15,0.01
88.055,-1.8644,89.8,88.43,89.72,0.6306,AMD,456922,2,0.04
7.735,1.75,7.97,8.14,8.29,0.2397,CVNA,23240,0,-0.51
161.33,1.2823,164.8,165.08,166.0,0.7409,TSLA,892727,4,1.11
104.79,0.114,105.47,105.41,106.0,0.5543,GOOGL,160602,0,-1.75
91.61,0.7332,91.87,92.05,92.38,0.7484,SONY,2089,0,0.0
219.9,-0.5249,223.75,223.61,226.77,0.5057,ENPH,37487,0,2.0
5.85,0.3378,5.9,5.94,5.99,0.4494,SOFI,91955,0,0.06
468.84,-0.4618,475.72,471.99,474.875,0.6011,NOC,8043,0,7.14
4.91,0.4024,4.94,4.99,5.07,0.3518,AMC,413114,0,0.84
