open,low,price,high,percentchange,relvolume,symbol,watchers,hourchange,sentiment
285.99,284.54,288.45,289.05,0.0277,0.4744,MSFT,443656,3,5.43
225.06,222.3,224.27,228.49,-1.5798,0.5032,ENPH,37472,0,-0.52
179.1,177.65,180.59,183.5,-2.0183,0.6315,TSLA,892141,32,-3.55
5.9,5.87,6.08,6.1,1.6722,0.4953,SOFI,91959,-13,1.61
31.1,31.0828,31.15,31.52,-2.1363,0.4343,INTC,131281,0,1.35
8.6,8.3,8.63,8.84,-1.9318,0.2952,CVNA,23281,-1,-1.68
91.0,90.73,90.97,91.12,-0.3724,0.5063,SONY,2089,0,0.0
4.95,4.92,5.1,5.17,0.9901,0.3154,AMC,413188,-4,-0.7
165.8,165.54,167.63,168.16,0.6968,0.6395,AAPL,878196,0,5.92
273.61,272.32,279.31,280.0,0.9542,0.6812,NVDA,421925,4,5.3
480.46,476.24,477.07,482.74,-0.5006,0.4242,NOC,8043,0,3.33
101.58,101.39,104.3,105.12,1.955,0.8364,AMZN,588753,-2,2.4
88.51,88.22,89.94,90.54,0.1782,0.5543,AMD,456904,0,0.62
103.58,103.07,104.18,104.98,-0.3062,0.4564,GOOGL,160563,6,-0.15
126.5,125.3,126.32,126.98,-1.1426,0.9493,IBM,51449,6,-3.23
213.472,212.94,215.7,217.33,-1.0051,0.4728,META,512953,1,3.26
128.58,128.075,128.18,128.9,-0.6665,0.3668,EA,20704,0,10.0
141.23,140.41,141.22,141.5,-0.1273,0.5763,JPM,82986,1,0.73
