percentchange,open,price,low,high,symbol,relvolume,watchers,hourchange,sentiment
-0.5391,480.46,476.885,476.605,482.74,NOC,0.3049,8043,0,7.5
0.0243,285.99,288.44,284.54,289.05,MSFT,0.4223,443644,3,4.78
0.6904,273.61,278.58,272.32,278.88,NVDA,0.5868,421918,-3,2.29
-1.6303,225.06,224.155,222.3,228.49,ENPH,0.4365,37476,0,-0.26
-0.7297,213.472,216.3,212.94,217.33,META,0.4197,512959,-1,2.41
-0.5362,179.1,183.3217,177.65,183.4685,TSLA,0.545,891974,16,0.13
0.7928,165.8,167.7897,165.54,168.16,AAPL,0.5534,878176,7,3.04
-0.2157,141.23,141.095,140.41,141.5,JPM,0.4709,82989,0,-0.7
-0.4107,128.58,128.51,128.08,128.9,EA,0.2933,20704,0,10.0
-1.4243,126.5,125.96,125.3,126.98,IBM,0.6822,51405,2,1.02
2.39,101.58,104.745,101.39,105.12,AMZN,0.7322,588736,8,2.54
0.0048,103.58,104.505,103.07,104.98,GOOGL,0.3882,160556,2,-0.17
-0.3231,91.0,91.015,90.73,91.12,SONY,0.3523,2086,0,0.0
0.2005,88.51,89.96,88.22,90.54,AMD,0.4881,456899,2,1.42
-1.7122,31.1,31.285,31.0828,31.52,INTC,0.3267,131279,-4,-0.62
-0.5114,8.6,8.755,8.3,8.77,CVNA,0.2538,23285,0,-4.31
1.7559,5.9,6.085,5.87,6.1,SOFI,0.4262,91947,0,0.91
0.297,4.95,5.065,4.92,5.17,AMC,0.2694,413183,2,-1.84
