high,low,relvolume,percentchange,price,symbol,open,watchers,hourchange,sentiment
475.7,469.78,0.267,0.5986,475.6,NOC,472.0,8038,0,-8.57
288.85,283.17,0.4447,1.8484,288.73,MSFT,283.59,443339,9,-1.93
268.869,263.29,0.5218,1.0898,267.8375,NVDA,267.34,421486,2,-3.55
220.68,215.82,0.5266,3.0374,220.5,META,215.73,512786,7,1.88
211.55,198.52,0.7777,7.3509,210.44,ENPH,200.01,37419,2,-1.26
186.5,180.94,0.5719,3.0464,186.04,TSLA,182.955,891307,8,-0.16
165.38,161.44,0.6481,3.1324,165.115,AAPL,161.63,877728,3,0.22
128.77,126.84,0.5624,0.1984,128.755,JPM,128.46,82658,14,-5.66
128.72,126.58,0.3213,1.5658,128.105,EA,126.58,20703,0,0.0
128.215,126.01,0.6431,-0.3656,128.07,IBM,128.01,51367,3,5.26
107.47,105.9,0.4045,2.3796,107.13,GOOGL,105.84,160360,-1,-0.48
102.56,98.73,0.7488,4.3852,102.12,AMZN,98.95,588350,6,3.23
93.16,91.83,0.4941,0.1516,92.47,AMD,92.79,456752,6,1.85
90.76,90.0,0.4685,1.4758,90.76,SONY,90.1,2088,0,0.0
32.4252,31.65,0.3516,1.0931,32.37,INTC,31.82,131230,0,-0.14
9.76,9.201,0.2596,2.2186,9.445,CVNA,9.27,23336,-3,0.65
5.98,5.825,0.4094,1.1168,5.885,SOFI,5.91,91919,1,0.89
5.66,5.3975,0.4322,1.6816,5.4298,AMC,5.48,413218,-3,-2.73
