high,percentchange,symbol,low,price,open,relvolume,watchers,hourchange,sentiment
476.01,-0.9464,NOC,469.48,472.03,476.12,0.272,8039,0,5.0
285.87,-1.999,MSFT,281.64,283.605,285.75,0.5696,443205,8,-2.49
277.89,-0.6309,NVDA,271.26,274.05,277.235,0.4219,421353,7,1.23
216.02,0.0559,META,213.83,214.87,215.48,0.3469,512717,0,-1.22
199.04,1.5066,ENPH,193.14,198.75,195.9,0.2405,37410,1,-1.15
189.19,2.0487,TSLA,185.65,188.29,186.69,0.5207,891114,6,0.41
162.36,-0.145,AAPL,160.51,161.795,162.35,0.4249,877572,6,-4.79
130.98,-0.1068,IBM,130.18,130.89,130.58,0.2962,51364,0,-1.52
128.93,0.3597,JPM,127.54,128.35,128.3,0.4654,82602,0,-2.99
126.25,0.3821,EA,124.74,126.1,125.13,0.298,20704,0,-1.14
106.73,-0.5167,GOOGL,104.68,105.89,106.55,0.4304,160311,-2,0.08
100.99,-1.982,AMZN,99.01,100.145,100.8,0.6213,588154,3,-5.98
96.065,-1.3232,AMD,92.7,94.2166,96.06,0.5972,456712,5,5.54
89.48,0.8926,SONY,88.98,89.3,89.24,0.2877,2089,0,0.0
33.11,0.0,INTC,32.45,32.52,32.66,0.3167,131221,0,-6.93
10.8485,5.478,CVNA,9.6,9.82,9.79,0.6633,23332,3,15.56
6.0095,0.423,SOFI,5.86,5.935,5.91,0.4629,91916,-4,2.15
5.62,7.0611,AMC,5.25,5.61,5.45,0.6984,413155,-1,3.86
