symbol,high,percentchange,price,open,relvolume,low,watchers,hourchange,sentiment
NOC,473.3,1.0692,473.105,467.22,0.3587,467.85,8036,-1,0.0
MSFT,287.145,-1.0412,284.19,285.85,0.4817,282.95,442940,5,-3.89
NVDA,269.98,-2.5493,267.5314,268.29,0.8126,263.95,421035,3,-4.44
META,215.19,-1.3832,211.7501,214.15,0.4559,209.95,512550,5,-2.7
ENPH,201.62,-5.0089,192.395,200.0,0.7211,187.73,37375,3,-0.25
TSLA,190.68,-3.4123,186.0086,190.515,0.6462,183.76,890592,10,-1.42
AAPL,165.05,-1.449,163.2301,164.74,0.5472,161.8,877243,0,-7.02
IBM,132.61,0.5015,132.26,131.37,0.3074,131.47,51358,0,0.0
JPM,128.14,0.1295,127.585,126.8,0.4741,126.46,82526,4,5.76
EA,126.245,0.2715,125.58,125.24,0.4911,124.85,20706,0,8.33
GOOGL,106.1,-0.3819,104.3201,105.78,0.5143,103.66,160111,3,0.52
AMZN,103.91,-2.4213,101.4331,103.91,0.4744,100.7506,587859,5,0.63
AMD,94.5,-3.317,92.69,94.35,0.6486,91.36,456572,1,-2.88
SONY,90.02,-1.4888,89.655,89.9,0.5425,89.53,2087,0,0.0
INTC,32.985,-0.7855,32.84,32.795,0.5596,32.335,131187,-3,0.24
CVNA,9.38,-10.2632,8.525,9.38,0.269,8.3901,23332,-4,-1.8
SOFI,5.87,-3.056,5.71,5.87,0.6677,5.5801,91868,0,0.36
AMC,4.09,2.9412,4.025,4.07,0.592,3.94,412889,-6,-2.65
