high,relvolume,percentchange,low,price,open,symbol,watchers,hourchange,sentiment
271.67,0.8619,-1.5152,263.55,267.79,270.31,NVDA,420200,-2,-1.14
8.47,0.2716,-1.9162,7.95,8.19,8.18,CVNA,23417,0,-0.45
99.52,1.0179,-2.3235,96.74,97.95,99.18,AMD,456184,0,-2.61
125.4,0.6283,1.5563,122.88,125.29,123.36,IBM,51329,2,-2.11
160.34,0.6983,0.8306,157.85,160.25,158.86,AAPL,876397,-6,-1.19
280.63,0.7429,1.048,275.3,280.57,277.24,MSFT,442258,0,0.35
456.2,0.7919,2.4323,443.105,455.25,445.08,NOC,8012,0,-10.23
119.205,0.8715,2.5767,117.61,119.03,118.08,EA,20720,0,0.0
5.83,0.4643,-0.692,5.645,5.74,5.675,SOFI,91708,1,-0.29
4.54,0.283,0.0,4.38,4.47,4.4,AMC,411927,-1,0.25
29.81,1.0801,1.1368,28.93,29.36,29.04,INTC,130869,2,-2.26
98.295,0.6949,-0.5876,96.4,98.13,98.065,AMZN,587053,0,-0.92
207.574,0.7884,0.8469,203.55,206.01,205.18,META,512051,0,2.97
192.36,0.6231,-0.9416,187.15,190.41,191.65,TSLA,889287,2,-1.2
105.49,0.6651,-0.1515,103.84,105.44,104.99,GOOGL,159720,0,-3.37
88.3,1.3895,-0.8383,86.96,87.53,88.3,SONY,2082,0,0.0
203.55,0.8771,-4.2363,192.46,195.99,202.35,ENPH,37276,1,4.64
125.68,1.496,-1.5216,123.11,124.91,125.63,JPM,82376,5,-0.01
