price,percentchange,open,symbol,relvolume,high,low,watchers,hourchange,sentiment
459.545,0.1187,459.38,NOC,0.2679,462.27,457.495,8021,0,25.0
280.56,1.9366,278.96,MSFT,0.4853,280.65,278.41,442530,0,-1.71
270.0506,2.2532,268.25,NVDA,0.6079,270.6697,265.97,420470,0,-1.37
205.3207,2.3125,203.56,META,0.4198,205.39,202.54,512243,1,0.12
204.14,5.4878,196.75,ENPH,0.6637,205.77,191.385,37308,1,-0.62
193.04,2.035,193.13,TSLA,0.6136,195.28,189.44,889638,9,0.48
160.7216,1.9484,159.37,AAPL,0.5079,160.77,159.35,876718,11,-0.3
129.95,0.4716,130.12,IBM,0.3685,130.348,129.18,51343,-1,0.76
129.04,0.1241,130.1,JPM,0.7738,130.22,127.77,82460,1,-0.93
119.28,1.0676,118.08,EA,0.281,119.325,118.08,20708,-1,0.0
101.39,0.3563,102.28,GOOGL,0.5136,102.43,100.655,159836,0,4.31
100.27,3.116,98.69,AMZN,0.5385,100.34,98.5801,587352,2,1.22
96.63,2.1891,96.07,AMD,0.7166,96.91,94.87,456332,0,-0.21
87.91,2.4353,86.93,SONY,0.8498,87.93,86.74,2084,0,0.0
31.8101,8.604,29.77,INTC,1.312,31.85,29.789,130911,8,7.05
7.7715,5.591,7.47,CVNA,0.1952,7.78,7.37,23365,1,-7.63
5.8175,4.0698,5.69,SOFI,0.5953,5.9199,5.65,91762,2,-1.08
4.9878,-3.1495,5.14,AMC,0.7053,5.2084,4.83,412480,-5,-0.59
