percentchange,relvolume,high,low,symbol,price,open,watchers,hourchange,sentiment
2.223,0.5034,454.72,443.105,NOC,454.32,445.08,8011,0,-5.0
0.1333,0.5387,279.77,275.3,MSFT,278.03,277.24,442234,0,-3.42
-2.5415,0.6415,271.67,263.55,NVDA,264.9993,270.31,420178,6,-2.02
0.4553,0.6126,207.574,203.55,META,205.21,205.18,512046,8,-3.46
-5.3992,0.6729,203.55,192.46,ENPH,193.61,202.35,37272,1,3.16
-1.7272,0.4739,192.36,187.15,TSLA,188.9,191.65,889273,3,-3.42
0.1227,0.5059,159.67,157.85,AAPL,159.125,158.86,876372,7,-3.61
-1.5137,1.0694,125.68,123.1163,JPM,124.92,125.63,82359,4,-2.48
0.8187,0.3959,124.95,122.89,IBM,124.38,123.36,51326,0,-1.04
2.3095,0.5658,119.18,117.61,EA,118.72,118.08,20719,1,26.67
-0.6818,0.4512,105.36,103.84,GOOGL,104.88,104.99,159713,-2,-5.11
-2.7274,0.7883,99.52,96.74,AMD,97.545,99.18,456190,2,-3.71
-1.1853,0.5286,98.13,96.4,AMZN,97.54,98.065,587036,2,-3.14
-1.1216,1.0051,88.3,86.96,SONY,87.28,88.3,2081,0,0.0
0.9645,0.7507,29.81,28.93,INTC,29.31,29.04,130870,0,-4.47
-2.4551,0.2101,8.47,7.95,CVNA,8.145,8.18,23424,-2,-1.54
-1.1246,0.3288,5.83,5.645,SOFI,5.715,5.675,91705,3,-0.16
-0.1902,0.1958,4.54,4.38,AMC,4.4615,4.4,411924,-1,-0.45
