price,high,percentchange,open,low,symbol,relvolume,watchers,hourchange,sentiment
470.91,473.6,0.6003,467.22,467.22,NOC,0.5536,8036,0,0.0
268.81,269.98,-2.0836,268.29,263.95,NVDA,0.9568,421054,4,-3.53
4.05,4.09,3.5806,4.07,3.94,AMC,0.7224,412883,0,-0.55
211.48,215.19,-1.5089,214.15,209.95,META,0.5446,512545,-1,-3.58
284.34,287.145,-0.9889,285.85,282.95,MSFT,0.5843,442946,-1,-4.56
185.52,190.68,-3.666,190.515,183.76,TSLA,0.7518,890609,6,-1.41
89.65,90.02,-1.4943,89.9,89.5312,SONY,0.7198,2087,0,0.0
104.47,106.1,-0.2387,105.78,103.66,GOOGL,0.6109,160103,-2,0.52
5.74,5.87,-2.5467,5.87,5.5801,SOFI,0.786,91868,0,0.71
132.14,132.61,0.4103,131.37,131.37,IBM,0.4187,51366,0,0.0
32.83,32.985,-0.8157,32.795,32.335,INTC,0.7132,131190,1,-1.83
193.67,201.62,-4.3794,200.0,187.73,ENPH,0.8384,37380,0,0.7
101.1,103.91,-2.7417,103.91,100.7506,AMZN,0.5813,587868,5,-0.87
8.5,9.38,-10.5263,9.38,8.39,CVNA,0.3189,23330,-2,-1.85
163.76,165.05,-1.129,164.74,161.8,AAPL,0.6702,877253,2,-9.35
126.15,126.27,0.7266,125.24,124.85,EA,0.7325,20706,0,0.0
127.61,128.15,0.1491,126.8,126.46,JPM,0.609,82525,0,0.27
92.56,94.5,-3.4526,94.35,91.36,AMD,0.7872,456579,0,-1.63
