relvolume,high,open,symbol,price,percentchange,low,watchers,hourchange,sentiment
0.6633,29.33,29.075,INTC,29.29,0.377,28.63,130892,0,-1.84
0.707,102.4,102.44,GOOGL,101.03,-1.3957,99.7401,159815,-1,-4.31
0.235,7.72,7.57,CVNA,7.36,-3.4121,7.22,23375,-4,-0.44
0.3801,196.515,196.0,ENPH,193.52,-1.1796,190.624,37300,0,-2.8
0.4651,129.66,129.18,IBM,129.34,0.0232,128.8,51346,-1,1.27
0.5555,158.1277,157.97,AAPL,157.65,-0.398,155.98,876660,4,-2.36
0.5713,276.13,275.79,MSFT,275.23,-0.4161,272.05,442493,0,-1.76
0.907,96.93,96.77,AMD,94.56,-2.1219,92.87,456320,0,-0.46
0.535,201.03,200.15,META,200.68,-1.0649,197.9,512233,0,-3.91
0.7437,129.3417,128.71,JPM,128.88,0.3035,127.75,82452,0,-5.83
0.6755,265.13,264.47,NVDA,264.1,-0.4561,258.5,420435,0,-1.25
0.3387,461.5,458.31,NOC,459.0,0.1637,457.59,8021,1,3.57
0.5363,192.35,192.0,TSLA,189.19,-1.3659,185.43,889594,2,-3.15
0.5197,118.4425,118.085,EA,118.02,-0.5226,117.38,20713,0,4.44
0.8063,86.6682,86.11,SONY,85.82,-0.9464,85.74,2082,1,0.0
0.5751,5.79,5.74,SOFI,5.59,-2.9514,5.51,91760,3,-0.33
2.4732,5.5,4.51,AMC,5.15,13.1868,4.46,412384,18,0.8
0.4953,98.44,98.11,AMZN,97.24,-0.816,96.29,587299,1,-0.55
