symbol,price,relvolume,high,open,low,percentchange,watchers,hourchange,sentiment
NOC,478.71,0.2196,482.74,480.46,478.44,-0.1585,8043,0,9.52
MSFT,288.505,0.3541,289.05,285.99,284.54,0.0468,443641,-1,4.57
NVDA,278.3596,0.4871,278.84,273.61,272.32,0.6107,421913,2,1.24
ENPH,225.8892,0.375,228.49,225.06,222.3,-0.8693,37477,-2,-1.38
META,216.6569,0.3647,217.33,213.472,212.94,-0.5659,512963,3,0.33
TSLA,182.3647,0.4616,182.71,179.1,177.65,-1.0555,891918,15,-1.21
AAPL,167.805,0.4633,168.16,165.8,165.54,0.8019,878150,0,3.1
JPM,141.05,0.3809,141.5,141.23,140.41,-0.2475,82993,1,-1.19
EA,128.45,0.226,128.9,128.58,128.08,-0.4572,20703,0,10.0
IBM,125.95,0.4987,126.98,126.5,125.3,-1.4321,51403,0,0.0
AMZN,104.962,0.6258,105.09,101.58,101.39,2.6022,588710,9,0.62
GOOGL,104.84,0.3299,104.865,103.58,103.07,0.3254,160554,1,-2.26
SONY,90.95,0.2515,91.12,91.0,90.73,-0.3943,2086,-1,0.0
AMD,90.31,0.3994,90.54,88.51,88.22,0.5903,456893,-4,0.99
INTC,31.245,0.2695,31.52,31.1,31.0828,-1.8379,131283,1,1.18
CVNA,8.625,0.2095,8.765,8.6,8.3,-1.9886,23290,-5,-5.12
SOFI,6.045,0.3421,6.085,5.9,5.87,1.087,91922,2,-0.38
AMC,5.09,0.2396,5.17,4.95,4.92,0.7921,413183,-4,-2.32
