percentchange,low,high,open,symbol,price,relvolume,watchers,hourchange,sentiment
1.7989,445.36,452.2,445.27,NOC,451.58,0.3235,8002,0,9.09
-3.0526,269.85,277.48,276.98,MSFT,270.9,1.055,441930,4,-0.03
0.5675,251.3,260.24,256.15,NVDA,258.71,0.7299,419417,4,1.07
1.1145,193.64,199.36,198.48,META,197.79,0.62,511735,0,0.54
4.6667,185.2,196.88,189.59,ENPH,192.21,1.0323,37203,-4,0.93
1.8348,176.35,186.44,178.08,TSLA,183.435,0.6426,888857,4,-0.43
1.5613,154.15,157.81,155.07,AAPL,157.42,0.7326,876013,5,-0.7
0.8902,126.01,129.46,126.99,JPM,126.93,1.4195,82205,5,0.49
1.3663,124.19,125.9115,124.31,IBM,125.38,0.5632,51324,0,-0.86
0.1147,113.01,114.28,113.01,EA,113.48,0.3753,20730,0,0.0
-0.3444,99.88,101.75,100.12,GOOGL,101.27,0.6182,159575,4,-0.31
-1.8393,95.7,98.48,98.41,AMZN,97.13,0.6934,586756,4,0.75
-1.574,92.9,96.79,96.3,AMD,96.3,1.3789,455936,1,-0.73
2.2018,87.33,89.16,87.52,SONY,88.425,0.9256,2079,0,0.0
-1.8282,28.63,29.9,29.8,INTC,29.265,0.597,130823,1,0.19
-9.281,6.87,7.81,7.43,CVNA,6.94,0.2858,23279,-3,-1.47
-4.1209,5.22,5.54,5.47,SOFI,5.235,0.6963,91583,-1,1.29
2.8732,4.14,4.38,4.25,AMC,4.3001,0.3902,411739,1,-0.62
