low,open,high,percentchange,symbol,relvolume,price,watchers,hourchange,sentiment
5.67,5.75,6.17,6.2063,SOFI,1.0566,6.075,91784,3,0.85
459.45,462.98,463.4,0.1475,NOC,0.4159,461.66,8026,0,0.0
206.77,207.24,212.17,2.0545,META,0.653,212.11,512329,-12,4.29
4.87,4.91,5.055,0.503,AMC,0.4763,4.995,412477,4,-0.06
31.74,31.8,32.8998,1.8074,INTC,1.0575,32.67,131096,4,0.0
95.27,96.34,98.36,0.189,AMD,0.8317,98.065,456390,0,3.74
197.23,197.53,207.79,6.2218,TSLA,0.9318,207.43,889867,8,7.79
8.77,8.9,9.78,10.7022,CVNA,0.475,9.775,23376,15,2.91
162.13,162.44,165.0,1.5275,AAPL,0.7363,164.84,876833,2,4.63
118.985,119.38,120.53,1.1419,EA,0.6957,120.46,20709,0,-7.14
283.03,283.73,288.81,1.4786,MSFT,0.7248,288.25,442657,3,2.56
128.8514,129.66,130.3,1.1806,JPM,0.7219,130.27,82484,-3,-2.86
101.05,101.3,103.89,2.7604,GOOGL,0.6778,103.675,159926,-2,4.08
101.95,102.16,103.42,1.2108,AMZN,0.6381,103.235,587480,3,2.05
89.79,89.77,90.92,1.5116,SONY,1.4706,90.66,2084,1,0.0
129.42,129.47,131.16,1.4897,IBM,0.5809,131.145,51346,0,2.13
271.05,271.4,278.34,1.5594,NVDA,0.7758,278.1,420630,3,4.13
205.81,206.02,212.12,2.4943,ENPH,0.544,210.39,37334,2,-1.0
