open,price,percentchange,low,relvolume,symbol,high,watchers,hourchange,sentiment
460.46,462.405,0.1809,458.615,0.2371,NOC,462.41,8020,0,0.0
284.23,283.03,0.8984,281.5,0.4934,MSFT,284.46,442588,4,2.32
272.29,273.1616,1.231,271.02,0.5291,NVDA,274.99,420558,0,2.24
209.435,206.96,1.4759,203.96,0.5488,ENPH,214.19,37319,0,-2.23
203.38,206.9,0.7548,202.85,0.5235,META,208.09,512290,3,3.5
195.58,196.29,1.243,194.42,0.5096,TSLA,197.328,889734,0,4.23
161.53,162.1393,0.8517,161.271,0.4572,AAPL,162.47,876772,0,4.52
130.16,129.415,-0.2274,129.15,0.3856,IBM,131.47,51348,0,8.38
129.95,128.365,-0.6001,127.65,0.6107,JPM,130.12,82475,-1,3.22
120.0,119.11,-0.0671,118.85,0.3434,EA,120.05,20710,0,5.56
101.55,101.655,1.4015,101.01,0.5595,AMZN,103.04,587427,7,6.76
100.91,100.58,-0.7989,99.78,0.5237,GOOGL,100.96,159879,0,3.16
98.0,98.01,1.9981,97.25,0.7177,AMD,99.53,456360,4,-4.65
88.7,89.45,1.7981,88.64,1.081,SONY,89.51,2081,0,0.0
31.85,32.155,2.0146,31.81,1.1511,INTC,32.58,131059,5,12.24
8.08,8.6,9.2757,8.079,0.4899,CVNA,9.0,23365,0,-6.96
5.87,5.7,-0.8696,5.62,0.5058,SOFI,5.93,91777,0,-0.06
5.11,4.89,-2.2,4.87,0.4495,AMC,5.16,412494,0,1.11
