percentchange,open,high,low,price,relvolume,symbol,watchers,hourchange,sentiment
-0.8157,32.795,32.985,32.335,32.83,0.7132,INTC,131189,-2,-1.12
-4.3794,200.0,201.62,187.73,193.67,0.8384,ENPH,37379,2,0.69
-2.7417,103.91,103.91,100.7506,101.1,0.5813,AMZN,587861,-2,0.57
-1.129,164.74,165.05,161.8,163.76,0.6702,AAPL,877252,4,-8.61
0.7266,125.24,126.27,124.85,126.15,0.7325,EA,20706,0,0.0
-10.5263,9.38,9.38,8.39,8.5,0.3189,CVNA,23331,0,-1.57
0.1491,126.8,128.15,126.46,127.61,0.609,JPM,82526,0,3.59
-3.4526,94.35,94.5,91.36,92.56,0.7872,AMD,456574,-3,-2.38
0.6003,467.22,473.6,467.22,470.91,0.5536,NOC,8036,0,0.0
-0.9889,285.85,287.145,282.95,284.34,0.5843,MSFT,442943,0,-4.57
3.5806,4.07,4.09,3.94,4.05,0.7224,AMC,412890,1,-1.18
-2.0836,268.29,269.98,263.95,268.81,0.9568,NVDA,421051,5,-4.01
-1.5089,214.15,215.19,209.95,211.48,0.5446,META,512549,-1,-3.89
-3.666,190.515,190.68,183.76,185.52,0.7518,TSLA,890600,2,-1.08
0.4103,131.37,132.61,131.37,132.14,0.4187,IBM,51365,6,0.0
-1.4943,89.9,90.02,89.5312,89.65,0.7198,SONY,2087,0,0.0
-0.2387,105.78,106.1,103.66,104.47,0.6109,GOOGL,160109,-5,-0.03
-2.5467,5.87,5.87,5.5801,5.74,0.786,SOFI,91869,2,0.68
