price,open,percentchange,high,symbol,low,relvolume,watchers,hourchange,sentiment
140.54,139.74,-0.1917,141.11,JPM,138.78,0.6957,82973,0,-3.92
30.3,30.84,-1.8146,30.79,INTC,30.225,0.5032,131284,-2,-1.16
129.11,129.05,0.2407,130.12,EA,128.695,0.504,20702,0,25.0
285.76,285.01,-0.1223,286.26,MSFT,283.0608,0.5756,443714,-6,-1.79
125.73,126.0,-0.4986,126.69,IBM,125.27,1.0535,51487,0,1.75
271.19,269.52,0.0553,271.83,NVDA,267.2301,0.644,422040,0,1.17
212.89,210.21,-0.0845,213.41,META,209.76,0.5292,513008,3,-1.19
106.96,106.1,3.0344,108.15,AMZN,105.08,1.2806,588947,7,0.38
165.02,165.05,-0.9781,166.45,AAPL,164.5,0.7882,878307,-3,-1.67
88.43,89.8,-1.8644,89.72,AMD,88.055,0.6306,456946,4,0.47
165.08,164.8,1.2823,166.0,TSLA,161.33,0.7409,892741,-6,1.13
8.14,7.97,1.75,8.29,CVNA,7.735,0.2397,23256,-1,0.14
105.41,105.47,0.114,106.0,GOOGL,104.79,0.5543,160609,3,-1.19
223.61,223.75,-0.5249,226.77,ENPH,219.9,0.5057,37490,0,1.8
92.05,91.87,0.7332,92.38,SONY,91.61,0.7484,2089,0,0.0
5.94,5.9,0.3378,5.99,SOFI,5.85,0.4494,91964,2,0.01
471.99,475.72,-0.4618,474.875,NOC,468.84,0.6011,8044,0,1.43
4.99,4.94,0.4024,5.07,AMC,4.91,0.3518,413189,2,0.48
