low,high,relvolume,open,symbol,percentchange,price,watchers,hourchange,sentiment
443.105,455.23,0.5356,445.08,NOC,2.3265,454.78,8014,3,-5.0
275.3,279.77,0.5598,277.24,MSFT,0.2053,278.23,442236,2,-3.24
263.55,271.67,0.6685,270.31,NVDA,-2.3317,265.57,420185,7,-2.07
203.55,207.574,0.6366,205.18,META,0.4088,205.115,512054,8,-2.41
192.46,203.55,0.6956,202.35,ENPH,-4.7347,194.97,37272,0,3.35
187.15,192.36,0.4977,191.65,TSLA,-1.285,189.75,889276,3,-2.78
157.85,159.67,0.5288,158.86,AAPL,0.3492,159.485,876374,2,-3.33
123.1163,125.68,1.1209,125.63,JPM,-1.5058,124.93,82362,3,-0.98
122.89,124.95,0.4118,123.36,IBM,1.0335,124.645,51326,0,-0.54
117.61,119.18,0.5871,118.08,EA,2.1113,118.49,20719,0,16.67
103.84,105.36,0.4734,104.99,GOOGL,-0.5373,105.0326,159715,2,-5.41
96.4,98.13,0.5459,98.065,AMZN,-0.9422,97.78,587038,2,-2.14
96.74,99.52,0.8129,99.18,AMD,-2.7024,97.57,456186,-4,-3.44
86.96,88.3,1.0335,88.3,SONY,-1.0026,87.385,2082,1,0.0
28.93,29.81,0.7924,29.04,INTC,0.7751,29.255,130870,0,-3.55
7.95,8.47,0.2167,8.18,CVNA,-1.9162,8.19,23423,-1,-1.62
5.645,5.83,0.3418,5.675,SOFI,-0.9031,5.7278,91704,-1,-0.22
4.38,4.54,0.2033,4.4,AMC,0.1924,4.4786,411928,4,-0.36
