percentchange,high,price,symbol,low,relvolume,open,watchers,hourchange,sentiment
1.789,470.18,469.98,NOC,462.72,0.2816,463.3,8030,2,0.0
-1.3597,288.27,284.38,MSFT,283.95,0.4801,286.52,442825,6,-1.18
-1.0908,279.91,274.74,NVDA,273.36,0.5275,275.09,420815,1,0.1
-0.6087,211.74,210.65,META,208.2001,0.3483,208.84,512444,-5,-0.23
-3.5002,215.8856,202.9197,ENPH,201.6293,0.6245,213.98,37367,2,1.88
-7.1002,202.6897,192.7299,TSLA,192.2,0.7576,199.91,890298,24,-2.2
-0.1759,165.89,164.61,AAPL,164.27,0.4691,164.27,877053,2,-0.19
0.7933,132.61,132.13,IBM,130.77,0.3158,130.97,51351,0,2.08
0.0153,131.43,130.33,JPM,129.41,0.4314,129.91,82510,-1,4.05
0.2491,120.96,120.75,EA,119.6,0.3468,120.14,20708,0,0.0
-0.6845,103.79,103.02,GOOGL,102.11,0.3397,102.39,160004,2,0.48
-1.6652,103.29,101.57,AMZN,101.542,0.4016,102.3,587671,3,0.69
-2.8779,96.79,95.1894,AMD,94.81,0.5854,96.695,456499,2,-0.61
0.2096,91.01,90.84,SONY,90.455,0.6769,90.41,2089,0,0.0
-0.0306,33.56,32.66,INTC,32.54,0.8063,32.94,131144,1,-0.52
-5.5087,10.16,9.2507,CVNA,9.12,0.3859,9.64,23354,0,1.23
-0.9885,6.275,6.01,SOFI,5.94,0.622,6.14,91842,-2,-1.05
1.5469,5.145,5.0875,AMC,4.94,0.3864,4.99,412505,-4,0.05
