open,high,symbol,relvolume,price,percentchange,low,watchers,hourchange,sentiment
32.6,32.76,INTC,0.4854,32.52,-0.8839,32.2,131211,1,-0.81
129.83,131.08,IBM,0.3796,131.03,0.4061,129.24,51364,-2,-1.68
179.94,185.0994,TSLA,0.8207,184.51,-0.2972,176.11,891043,8,-0.18
124.79,125.8,EA,0.3892,125.62,0.3675,123.74,20703,0,4.44
9.0,9.35,CVNA,0.3262,9.31,3.3296,8.62,23315,-1,3.35
289.208,289.6,MSFT,0.6369,289.39,-0.7579,284.72,443164,3,-1.38
100.96,102.2,AMZN,0.5167,102.17,0.1078,99.57,588098,7,-0.6
4.77,5.37,AMC,1.2692,5.24,6.9388,4.74,413138,-1,0.6
189.09,195.9,ENPH,0.4136,195.8,2.5131,188.51,37407,4,-1.76
470.98,478.17,NOC,0.4565,476.54,1.3074,470.98,8041,0,-16.67
91.32,95.79,AMD,0.7903,95.48,3.2551,91.02,456696,2,8.89
5.69,5.92,SOFI,0.5343,5.91,2.7826,5.66,91907,0,1.07
126.54,128.23,JPM,0.5624,127.89,0.3295,126.22,82591,2,-2.49
161.42,162.03,AAPL,0.6369,162.03,-1.5972,160.08,877529,6,-3.75
268.23,276.2099,NVDA,0.7128,275.79,2.0047,266.69,421316,5,2.28
214.71,215.66,META,0.4571,214.75,-0.6247,210.66,512690,4,-1.44
106.98,107.59,GOOGL,0.6059,106.44,-1.8262,105.12,160299,0,0.22
87.76,88.52,SONY,0.4657,88.51,0.3856,87.73,2088,0,0.0
