high,price,relvolume,open,low,symbol,percentchange,watchers,hourchange,sentiment
471.55,471.02,0.3416,463.3,462.72,NOC,2.0142,8031,1,0.0
288.27,286.4104,0.5616,286.52,283.95,MSFT,-0.6554,442828,0,-1.21
279.91,277.93,0.6258,275.09,273.36,NVDA,0.0576,420821,2,0.05
212.69,212.4429,0.4205,208.84,208.2001,META,0.2373,512447,3,0.11
215.8856,203.1,0.6871,213.98,201.6293,ENPH,-3.4145,37369,-1,1.5
202.6897,194.655,0.8699,199.91,192.2,TSLA,-6.1723,890319,16,-1.76
165.89,165.775,0.5738,164.27,164.27,AAPL,0.5306,877070,11,0.48
132.61,132.33,0.3725,130.97,130.77,IBM,0.9459,51351,0,2.08
131.43,130.3399,0.4985,129.91,129.41,JPM,0.0229,82511,1,4.35
121.41,121.28,0.4381,120.14,119.6,EA,0.6891,20708,0,0.0
103.9,103.855,0.4093,102.39,102.11,GOOGL,0.1205,160009,3,1.42
103.29,102.08,0.4619,102.3,101.43,AMZN,-1.1715,587675,1,1.17
96.79,96.035,0.6668,96.695,94.81,AMD,-2.0151,456505,5,-1.17
91.05,90.985,0.796,90.41,90.455,SONY,0.3696,2089,0,0.0
33.56,32.875,0.9215,32.94,32.54,INTC,0.6275,131140,-4,-0.19
10.16,9.235,0.4351,9.64,9.12,CVNA,-5.6691,23361,10,0.88
6.275,6.0156,0.7144,6.14,5.94,SOFI,-0.8962,91846,3,-1.17
5.145,5.03,0.4318,4.99,4.94,AMC,0.3992,412503,-1,0.2
