low,high,percentchange,open,price,relvolume,symbol,watchers,hourchange,sentiment
476.2,482.7909,-0.5006,480.46,477.07,0.4242,NOC,8043,0,6.06
272.32,280.0,0.9542,273.61,279.31,0.6812,NVDA,421923,5,4.27
101.39,105.12,1.955,101.58,104.3,0.8364,AMZN,588751,6,2.51
88.22,90.54,0.1782,88.51,89.94,0.5543,AMD,456906,10,0.69
103.07,104.98,-0.3062,103.58,104.18,0.4564,GOOGL,160559,1,-0.07
125.3,126.98,-1.1426,126.5,126.32,0.9493,IBM,51434,25,3.39
212.94,217.33,-1.0051,213.472,215.7,0.4728,META,512956,0,3.28
140.4,141.5,-0.1273,141.23,141.22,0.5763,JPM,82990,1,-0.34
5.87,6.1,1.6722,5.9,6.08,0.4953,SOFI,91973,10,1.25
128.075,128.9,-0.6665,128.58,128.18,0.3668,EA,20704,-1,10.0
177.65,183.5,-2.0183,179.1,180.59,0.6315,TSLA,892069,70,0.78
90.73,91.12,-0.3724,91.0,90.97,0.5063,SONY,2087,0,0.0
284.54,289.05,0.0277,285.99,288.45,0.4744,MSFT,443656,9,6.56
8.295,8.8426,-1.9318,8.6,8.63,0.2952,CVNA,23284,0,-2.91
222.3,228.49,-1.5798,225.06,224.27,0.5032,ENPH,37475,0,-0.31
165.54,168.16,0.6968,165.8,167.63,0.6395,AAPL,878187,8,5.32
31.0828,31.52,-2.1363,31.1,31.15,0.4343,INTC,131281,0,0.99
4.92,5.17,0.9901,4.95,5.1,0.3154,AMC,413183,2,-1.19
