price,high,percentchange,low,relvolume,symbol,open,watchers,hourchange,sentiment
264.1,265.13,-0.4561,258.5,0.6755,NVDA,264.47,420423,3,-0.39
459.0,461.5,0.1637,457.59,0.3387,NOC,458.31,8016,0,-2.78
189.19,192.35,-1.3659,185.43,0.5363,TSLA,192.0,889585,16,-3.02
97.24,98.44,-0.816,96.29,0.4953,AMZN,98.11,587260,7,-1.74
85.82,86.6682,-0.9464,85.745,0.8063,SONY,86.11,2081,0,0.0
5.15,5.5,13.1868,4.46,2.4732,AMC,4.51,412081,107,-0.37
5.59,5.79,-2.9514,5.51,0.5751,SOFI,5.74,91755,0,0.53
29.29,29.33,0.377,28.63,0.6633,INTC,29.075,130891,0,-0.81
101.03,102.4,-1.3957,99.7401,0.707,GOOGL,102.44,159817,0,-4.76
7.36,7.72,-3.4121,7.22,0.235,CVNA,7.57,23387,-7,-0.32
193.52,196.515,-1.1796,190.624,0.3801,ENPH,196.0,37298,-1,-3.4
129.34,129.66,0.0232,128.8,0.4651,IBM,129.18,51344,0,3.35
275.23,276.13,-0.4161,272.05,0.5713,MSFT,275.79,442486,4,-2.62
157.65,158.1277,-0.398,155.98,0.5555,AAPL,157.97,876656,3,-2.51
128.88,129.3417,0.3035,127.75,0.7437,JPM,128.71,82450,-1,-1.89
200.68,201.03,-1.0649,197.9,0.535,META,200.15,512220,-3,-3.47
94.56,96.93,-2.1219,92.87,0.907,AMD,96.77,456309,2,-1.22
118.02,118.4425,-0.5226,117.38,0.5197,EA,118.085,20715,0,-1.01
