high,low,price,relvolume,symbol,percentchange,open,watchers,hourchange,sentiment
482.74,478.38,478.38,0.2271,NOC,-0.2273,480.46,8043,0,9.52
289.05,284.54,288.55,0.3664,MSFT,0.0624,285.99,443641,-1,4.57
278.88,272.32,277.97,0.5026,NVDA,0.4699,273.61,421913,2,1.24
228.49,222.3,225.41,0.387,ENPH,-1.0796,225.06,37477,-2,-1.38
217.33,212.94,216.43,0.3711,META,-0.6701,213.472,512963,3,0.33
182.8,177.65,182.5613,0.4732,TSLA,-0.9488,179.1,891918,15,-1.21
168.16,165.54,167.73,0.4778,AAPL,0.7569,165.8,878150,0,3.1
141.5,140.41,141.025,0.3931,JPM,-0.2652,141.23,82993,1,-1.19
128.9,128.08,128.56,0.2514,EA,-0.372,128.58,20703,0,10.0
126.98,125.3,126.01,0.5201,IBM,-1.3852,126.5,51403,0,0.0
105.12,101.39,104.875,0.6453,AMZN,2.5171,101.58,588710,9,0.62
104.98,103.07,104.8099,0.3387,GOOGL,0.2966,103.58,160554,1,-2.26
91.12,90.73,90.915,0.2585,SONY,-0.4326,91.0,2086,-1,0.0
90.54,88.22,90.095,0.4117,AMD,0.3509,88.51,456893,-4,0.99
31.52,31.0828,31.24,0.2784,INTC,-1.8536,31.1,131283,1,1.18
8.765,8.3,8.605,0.2145,CVNA,-2.2159,8.6,23290,-5,-5.12
6.085,5.87,6.065,0.3553,SOFI,1.4214,5.9,91922,2,-0.38
5.17,4.92,5.08,0.2427,AMC,0.5941,4.95,413183,-4,-2.32
