relvolume,low,price,percentchange,symbol,high,open,watchers,hourchange,sentiment
0.7325,124.85,126.15,0.7266,EA,126.27,125.24,20707,1,7.94
0.5813,100.7506,101.1,-2.7417,AMZN,103.91,103.91,587879,1,-0.76
0.6702,161.8,163.76,-1.129,AAPL,165.05,164.74,877261,-3,-9.1
0.7872,91.36,92.56,-3.4526,AMD,94.5,94.35,456583,3,-1.27
0.5536,467.22,470.91,0.6003,NOC,473.6,467.22,8036,0,0.0
0.3189,8.39,8.5,-10.5263,CVNA,9.38,9.38,23329,0,-2.49
0.9568,263.95,268.81,-2.0836,NVDA,269.98,268.29,421067,4,-3.52
0.5446,209.95,211.48,-1.5089,META,215.19,214.15,512558,4,-4.65
0.7224,3.94,4.05,3.5806,AMC,4.09,4.07,412901,2,-0.22
0.5843,282.95,284.34,-0.9889,MSFT,287.145,285.85,442957,5,-3.07
0.609,126.46,127.61,0.1491,JPM,128.15,126.8,82526,0,-1.72
0.7518,183.76,185.52,-3.666,TSLA,190.68,190.515,890629,5,-1.55
0.7198,89.5312,89.65,-1.4943,SONY,90.02,89.9,2087,0,0.0
0.4187,131.37,132.14,0.4103,IBM,132.61,131.37,51362,-3,0.0
0.786,5.5801,5.74,-2.5467,SOFI,5.87,5.87,91880,2,0.2
0.6109,103.66,104.47,-0.2387,GOOGL,106.1,105.78,160107,0,0.53
0.7132,32.335,32.83,-0.8157,INTC,32.985,32.795,131192,1,-1.67
0.8384,187.73,193.67,-4.3794,ENPH,201.62,200.0,37387,2,-0.02
