percentchange,price,relvolume,high,low,open,symbol,watchers,hourchange,sentiment
-2.0917,97.83,0.7773,100.51,97.705,100.4,AMZN,588258,4,-0.77
-1.0201,32.02,0.5877,32.89,31.96,32.77,INTC,131234,0,-6.8
-2.5126,5.82,0.9555,6.05,5.67,6.06,SOFI,91918,-1,-0.21
-1.4415,128.54,0.6074,130.87,128.18,130.4,IBM,51367,0,-2.42
0.3581,126.13,0.4105,127.1812,125.82,126.28,EA,20702,0,-16.67
-1.8079,92.33,0.8136,94.995,91.74,94.97,AMD,456745,-1,6.35
0.961,472.77,0.4255,474.7299,466.03,467.43,NOC,8038,0,0.0
0.2334,283.49,0.7301,287.01,281.96,284.79,MSFT,443294,0,-1.47
-5.3279,9.24,0.5844,10.32,8.79,9.79,CVNA,23330,0,6.59
-1.6575,5.34,0.827,5.74,5.34,5.62,AMC,413213,2,0.38
-0.4353,160.1,0.6508,162.06,159.78,161.22,AAPL,877684,7,0.82
0.5961,89.44,0.4882,90.4,89.29,90.0,SONY,2089,0,0.0
-0.0156,128.5,0.66,130.43,128.0603,129.18,JPM,82616,0,-0.52
-3.346,180.54,0.8639,191.58,180.31,190.74,TSLA,891217,7,-0.13
-2.4808,264.95,0.8408,274.63,264.4786,273.7,NVDA,421429,0,1.09
0.0701,214.0,0.5478,216.84,212.584,214.835,META,512758,1,-1.25
-0.6739,104.64,0.5099,106.75,104.34,106.58,GOOGL,160343,4,-0.19
-0.4317,196.03,0.4414,201.26,195.81,199.9,ENPH,37409,0,1.68
