low,percentchange,high,relvolume,price,symbol,open,watchers,hourchange,sentiment
162.13,1.5644,165.0,0.7363,164.9,AAPL,162.44,876843,10,4.88
118.985,1.1335,120.53,0.6957,120.45,EA,119.38,20709,0,-7.14
283.03,1.4962,288.81,0.7248,288.3,MSFT,283.73,442661,4,2.56
128.8514,1.2117,130.34,0.7219,130.31,JPM,129.66,82483,-1,-2.19
101.05,2.8149,103.89,0.6778,103.73,GOOGL,101.3,159928,2,3.22
101.95,1.2647,103.42,0.6381,103.29,AMZN,102.16,587485,5,2.35
89.79,1.5004,90.92,1.4706,90.65,SONY,89.77,2084,0,0.0
129.42,1.4471,131.22,0.5809,131.09,IBM,129.47,51346,0,2.04
5.67,6.1189,6.17,1.0566,6.07,SOFI,5.75,91783,-1,0.97
271.05,1.4388,278.34,0.7758,277.77,NVDA,271.4,420635,5,4.13
205.81,2.4407,212.12,0.544,210.28,ENPH,206.02,37336,2,-1.0
459.45,0.1605,463.4,0.4159,461.72,NOC,462.98,8027,1,0.0
4.87,0.8048,5.055,0.4763,5.01,AMC,4.91,412473,-4,0.1
206.77,1.9727,212.17,0.653,211.94,META,207.24,512329,0,3.58
31.74,1.8074,32.8998,1.0575,32.67,INTC,31.8,131094,-2,0.0
95.27,0.1328,98.36,0.8317,98.01,AMD,96.34,456390,0,4.01
8.77,10.872,9.79,0.475,9.79,CVNA,8.9,23373,-3,7.44
197.23,6.2372,207.79,0.9318,207.46,TSLA,197.53,889873,6,7.81
