symbol,relvolume,high,open,percentchange,price,low,watchers,hourchange,sentiment
META,0.4571,215.66,214.71,-0.6247,214.75,210.66,512692,1,-1.48
EA,0.3892,125.8,124.79,0.3675,125.62,123.74,20703,0,4.44
INTC,0.4854,32.76,32.6,-0.8839,32.52,32.2,131214,2,-0.55
IBM,0.3796,131.08,129.83,0.4061,131.03,129.24,51363,-1,-1.29
CVNA,0.3262,9.35,9.0,3.3296,9.31,8.62,23316,1,4.22
MSFT,0.6369,289.6,289.208,-0.7579,289.39,284.72,443170,2,-1.35
TSLA,0.8207,185.0994,179.94,-0.2972,184.51,176.11,891057,5,-0.34
AMZN,0.5167,102.2,100.96,0.1078,102.17,99.57,588098,-2,-1.73
ENPH,0.4136,195.9,189.09,2.5131,195.8,188.51,37408,0,-1.95
AMC,1.2692,5.37,4.77,6.9388,5.24,4.74,413138,-1,1.63
NOC,0.4565,478.17,470.98,1.3074,476.54,470.98,8041,0,-16.67
AMD,0.7903,95.79,91.32,3.2551,95.48,91.02,456700,1,8.3
NVDA,0.7128,276.2099,268.23,2.0047,275.79,266.69,421321,5,1.67
SOFI,0.5343,5.92,5.69,2.7826,5.91,5.66,91903,-5,0.65
AAPL,0.6369,162.03,161.42,-1.5972,162.03,160.08,877532,0,-4.78
JPM,0.5624,128.23,126.54,0.3295,127.89,126.22,82597,2,-2.86
GOOGL,0.6059,107.59,106.98,-1.8262,106.44,105.12,160304,2,0.19
SONY,0.4657,88.52,87.76,0.3856,88.51,87.73,2088,0,0.0
