open,percentchange,price,symbol,high,relvolume,low,watchers,hourchange,sentiment
467.22,0.5362,470.61,NOC,473.58,0.4521,467.85,8036,0,0.0
285.85,-0.9576,284.43,MSFT,287.145,0.5451,282.95,442943,3,-4.52
268.29,-2.4059,267.925,NVDA,269.98,0.9161,263.95,421046,11,-4.46
214.15,-1.7697,210.92,META,215.19,0.5186,209.95,512550,0,-4.2
200.0,-4.5843,193.255,ENPH,201.62,0.7888,187.73,37377,2,0.11
190.515,-3.4538,185.9287,TSLA,190.68,0.7284,183.76,890598,6,-1.55
164.74,-1.3162,163.45,AAPL,165.05,0.6229,161.8,877248,5,-8.21
131.37,0.2242,131.895,IBM,132.61,0.3758,131.47,51359,1,0.0
126.8,0.1315,127.5875,JPM,128.14,0.5602,126.46,82526,0,3.17
125.24,0.7346,126.16,EA,126.245,0.6128,124.85,20706,0,8.33
105.78,-0.3485,104.355,GOOGL,106.1,0.5708,103.66,160114,3,0.29
103.91,-2.5445,101.305,AMZN,103.91,0.5417,100.7506,587863,4,0.87
94.35,-3.6456,92.375,AMD,94.5,0.738,91.36,456577,5,-2.92
89.9,-1.4998,89.645,SONY,90.02,0.6486,89.53,2087,0,0.0
32.795,-0.8308,32.825,INTC,32.985,0.6375,32.335,131191,4,-0.91
9.38,-11.2105,8.435,CVNA,9.38,0.3027,8.3901,23331,-1,-1.8
5.87,-2.6316,5.735,SOFI,5.87,0.7382,5.5801,91867,-1,0.36
4.07,2.6854,4.015,AMC,4.09,0.6716,3.94,412889,0,-1.9
