low,open,price,high,percentchange,symbol,relvolume,watchers,hourchange,sentiment
28.63,29.8,29.16,29.9,-2.1805,INTC,0.7742,130821,-2,-0.38
124.19,124.31,125.94,126.1508,1.8191,IBM,0.7973,51325,1,1.06
5.19,5.47,5.22,5.54,-4.3956,SOFI,0.8466,91582,-1,1.06
113.01,113.01,113.52,114.28,0.15,EA,0.5323,20730,0,33.33
251.3,256.15,259.0,260.24,0.6803,NVDA,0.819,419424,7,0.91
269.85,276.98,272.23,277.48,-2.5767,MSFT,1.2161,441936,6,-0.02
193.64,198.48,197.81,199.36,1.1247,META,0.723,511735,0,0.6
92.9,96.3,96.81,96.94,-1.0527,AMD,1.5349,455939,3,-0.85
6.87,7.43,7.07,7.81,-7.5817,CVNA,0.3366,23279,0,-1.45
95.7,98.41,97.71,98.48,-1.2532,AMZN,0.7742,586756,0,0.39
126.01,126.99,127.14,129.46,1.0571,JPM,1.609,82206,1,1.04
445.36,445.27,449.26,452.2,1.2759,NOC,0.4475,8002,0,9.09
4.14,4.25,4.27,4.38,2.1531,AMC,0.4546,411733,-6,-0.65
99.88,100.12,101.22,101.75,-0.3936,GOOGL,0.7301,159582,7,-0.4
176.35,178.08,183.25,186.44,1.7321,TSLA,0.6925,888858,1,-0.74
87.33,87.52,88.42,89.16,2.196,SONY,1.1668,2079,0,0.0
154.15,155.07,157.4,157.81,1.5484,AAPL,0.8489,876018,5,-0.47
185.2,189.59,192.51,196.88,4.8301,ENPH,1.1646,37206,3,0.99
