relvolume,low,symbol,price,high,percentchange,open,watchers,hourchange,sentiment
0.5487,129.1,IBM,129.22,131.47,-0.3778,130.16,51348,0,8.71
0.6427,281.5,MSFT,284.05,284.46,1.262,284.23,442596,3,2.12
0.6092,194.42,TSLA,195.28,197.328,0.7221,195.58,889736,-2,5.7
1.4544,88.555,SONY,89.31,89.53,1.6388,88.7,2082,1,0.0
0.5217,118.85,EA,119.1,120.05,-0.0755,120.0,20710,0,5.56
0.5325,4.87,AMC,4.97,5.16,-0.6,5.11,412480,-10,0.95
0.5721,8.079,CVNA,8.83,9.0,12.1982,8.08,23364,-2,-5.37
0.6652,271.02,NVDA,273.83,274.99,1.4787,272.29,420566,1,5.05
0.5827,161.271,AAPL,162.36,162.47,0.989,161.53,876782,7,5.16
0.6629,203.96,ENPH,205.27,214.19,0.6472,209.435,37321,2,-2.15
0.7826,127.65,JPM,128.75,130.12,-0.302,129.95,82474,-1,2.99
0.6432,202.85,META,207.84,208.09,1.2126,203.38,512294,0,6.27
0.6807,99.78,GOOGL,100.89,101.155,-0.4931,100.91,159881,0,3.75
0.6344,5.62,SOFI,5.72,5.93,-0.5217,5.87,91769,-6,-0.21
1.4198,31.81,INTC,32.09,32.58,1.8084,31.85,131051,-4,9.96
0.3938,458.5,NOC,460.98,462.92,-0.1278,460.46,8023,0,0.0
0.6777,101.01,AMZN,102.0,103.04,1.7456,101.55,587436,2,5.02
0.8812,97.25,AMD,97.88,99.53,1.8628,98.0,456364,0,-1.07
