relvolume,symbol,price,open,low,percentchange,high,watchers,hourchange,sentiment
0.3074,NOC,476.355,470.98,471.57,1.2681,478.12,8041,-1,-8.33
0.5154,MSFT,288.8001,289.208,284.72,-0.9602,289.208,443153,5,-1.03
0.5997,NVDA,274.99,268.23,266.69,1.7088,275.9,421301,10,1.54
0.3668,META,215.135,214.71,210.66,-0.4466,215.32,512688,2,-1.05
0.3196,ENPH,194.7,189.09,188.51,1.9372,194.87,37403,0,-1.46
0.7083,TSLA,184.8199,179.94,176.11,-0.1297,185.09,891035,15,-1.29
0.5216,AAPL,161.625,162.43,160.08,-1.8432,161.86,877511,14,-2.28
0.2675,IBM,130.68,129.83,129.24,0.1379,131.02,51367,0,-0.93
0.4308,JPM,127.73,126.54,126.22,0.204,128.22,82588,5,-2.19
0.2532,EA,125.6,124.79,123.74,0.3516,125.75,20704,0,8.08
0.5045,GOOGL,106.335,106.98,105.12,-1.9231,107.59,160288,7,-0.26
0.4214,AMZN,101.7746,100.96,99.57,-0.2796,102.02,588079,10,-0.49
0.6405,AMD,95.485,91.32,91.02,3.2605,95.79,456689,7,5.97
0.2767,SONY,88.14,87.76,87.73,-0.034,88.22,2087,0,0.0
0.3674,INTC,32.535,32.6,32.2,-0.8382,32.76,131220,0,0.83
0.2524,CVNA,9.28,9.0,8.63,2.9967,9.35,23319,-4,1.19
0.4079,SOFI,5.855,5.69,5.66,1.8261,5.86,91903,1,0.35
1.0723,AMC,5.255,4.77,4.74,7.2449,5.37,413141,1,0.56
