percentchange,open,high,low,symbol,relvolume,price,watchers,hourchange,sentiment
0.0195,462.98,463.4,459.45,NOC,0.3271,461.07,8026,0,0.0
1.4821,283.73,288.7904,283.03,MSFT,0.6447,288.26,442654,1,2.66
1.0627,271.4,278.34,271.05,NVDA,0.726,276.74,420627,2,5.8
1.3472,207.24,211.43,206.77,META,0.5909,210.64,512341,0,5.44
1.4664,206.02,212.12,205.81,ENPH,0.489,208.28,37332,-2,-0.32
5.679,197.53,207.79,197.23,TSLA,0.8954,206.37,889859,11,8.6
1.1518,162.44,164.955,162.13,AAPL,0.6278,164.23,876831,7,5.26
1.1918,129.47,131.0983,129.42,IBM,0.45,130.76,51346,0,0.0
0.9864,129.66,130.08,128.851,JPM,0.6418,130.02,82487,-1,-2.57
0.7305,119.38,120.34,118.985,EA,0.5958,119.97,20709,0,-7.14
2.3739,101.3,103.605,101.05,GOOGL,0.5675,103.285,159928,0,5.16
0.8824,102.16,103.29,101.95,AMZN,0.5628,102.9,587477,0,2.26
-0.1481,96.34,98.36,95.27,AMD,0.783,97.735,456390,-6,4.33
1.59,89.77,90.92,89.79,SONY,1.2885,90.73,2083,0,0.0
1.7763,31.8,32.8998,31.74,INTC,0.9327,32.66,131092,1,-0.19
8.7203,8.9,9.67,8.77,CVNA,0.4388,9.6,23361,3,2.58
5.3322,5.75,6.17,5.67,SOFI,1.0006,6.025,91781,0,0.95
0.0,4.91,5.055,4.87,AMC,0.4271,4.97,412473,0,-0.08
