open,percentchange,low,price,relvolume,high,symbol,watchers,hourchange,sentiment
189.09,2.5131,188.51,195.8,0.4136,195.9,ENPH,37407,0,-1.76
470.98,1.3074,470.98,476.54,0.4565,478.17,NOC,8041,0,-16.67
91.32,3.2551,91.02,95.48,0.7903,95.79,AMD,456699,3,9.14
5.69,2.7826,5.66,5.91,0.5343,5.92,SOFI,91909,2,1.07
268.23,2.0047,266.69,275.79,0.7128,276.2099,NVDA,421311,-5,2.19
161.42,-1.5972,160.08,162.03,0.6369,162.03,AAPL,877529,0,-4.02
126.54,0.3295,126.22,127.89,0.5624,128.23,JPM,82595,4,-2.49
87.76,0.3856,87.73,88.51,0.4657,88.52,SONY,2088,0,0.0
106.98,-1.8262,105.12,106.44,0.6059,107.59,GOOGL,160301,2,0.22
214.71,-0.6247,210.66,214.75,0.4571,215.66,META,512691,1,-1.4
32.6,-0.8839,32.2,32.52,0.4854,32.76,INTC,131212,1,-1.27
129.83,0.4061,129.24,131.03,0.3796,131.08,IBM,51364,0,-1.29
9.0,3.3296,8.62,9.31,0.3262,9.35,CVNA,23315,0,3.53
179.94,-0.2972,176.11,184.51,0.8207,185.0994,TSLA,891045,2,-0.17
289.208,-0.7579,284.72,289.39,0.6369,289.6,MSFT,443170,6,-1.93
124.79,0.3675,123.74,125.62,0.3892,125.8,EA,20703,0,4.44
100.96,0.1078,99.57,102.17,0.5167,102.2,AMZN,588100,2,-0.86
4.77,6.9388,4.74,5.24,1.2692,5.37,AMC,413136,-2,0.88
