symbol,percentchange,high,price,open,low,relvolume,watchers,hourchange,sentiment
AMZN,1.5038,104.2,103.95,102.75,102.11,0.6103,587808,6,2.07
NVDA,-1.8309,280.0,274.53,279.66,273.08,0.686,420956,5,0.16
GOOGL,0.345,105.58,104.72,104.33,104.04,0.5141,160050,0,3.96
AMC,-23.4834,4.45,3.91,4.08,3.88,2.4701,412848,5,-5.39
NOC,-0.2323,471.94,468.1,468.73,465.0,0.3915,8036,2,0.0
EA,3.2056,125.47,125.24,121.43,121.23,1.0756,20708,1,0.0
META,0.7744,216.24,214.72,213.39,212.54,0.5769,512519,-3,4.64
CVNA,2.2605,9.72,9.5,9.44,8.93,0.3434,23341,-2,-2.4
TSLA,-1.1244,198.7446,192.58,197.32,190.32,0.711,890506,7,0.4
AMD,-0.7146,97.27,95.87,97.038,95.21,0.6455,456545,2,-2.4
IBM,-0.3483,132.1499,131.6,131.99,130.89,0.5043,51358,0,0.0
SONY,-0.3504,91.145,91.01,90.78,90.36,0.9783,2087,0,0.0
ENPH,-0.0296,203.2,202.54,202.89,198.65,0.4624,37367,-1,0.49
SOFI,-2.3217,6.095,5.89,6.1,5.835,0.4678,91861,7,-0.56
INTC,0.6385,33.84,33.1,32.85,32.85,1.059,131187,3,2.73
JPM,-1.3368,130.59,128.42,130.5,127.41,0.702,82526,-2,7.52
AAPL,-0.325,166.83,165.63,166.595,165.11,0.5431,877179,3,1.04
MSFT,-0.0174,290.4499,287.18,287.23,285.67,0.6652,442893,6,-0.71
