percentchange,open,relvolume,symbol,low,high,price,watchers,hourchange,sentiment
1.3404,106.89,0.566,GOOGL,106.88,108.935,108.87,160400,-4,-1.51
-0.2114,164.59,0.6406,AAPL,163.83,166.32,165.21,877855,3,1.39
7.551,135.15,3.0765,JPM,134.9001,139.12,138.73,82932,2,6.75
-0.3196,127.98,0.4028,EA,127.45,128.53,127.87,20705,0,10.0
-0.3767,209.77,0.6939,ENPH,204.67,214.57,208.9,37422,-1,-3.12
-0.4841,183.95,0.5598,TSLA,182.01,186.28,185.0,891426,-1,0.26
0.4089,90.85,0.8867,SONY,90.412,91.46,90.86,2088,0,0.0
-0.747,32.0,0.4201,INTC,31.69,32.235,31.89,131240,0,-1.8
1.0239,5.99,0.6398,SOFI,5.77,6.03,5.92,91899,0,-0.69
-6.2271,5.74,0.9005,AMC,4.9,5.75,5.12,413215,1,-0.34
-0.3692,91.82,0.5911,AMD,90.5,92.97,91.75,456770,2,-0.1
-0.3353,470.55,0.3372,NOC,468.765,473.09,472.57,8040,-1,13.33
-1.2766,287.0,0.5743,MSFT,283.69,288.48,286.14,443399,3,-0.53
1.1148,265.04,0.7461,NVDA,262.2,268.83,267.58,421595,5,-1.17
-4.2689,9.47,0.3345,CVNA,8.68,9.798,8.97,23324,-4,-2.06
0.5174,217.88,0.6378,META,217.56,222.11,221.49,512854,4,0.74
0.1074,102.07,0.7199,AMZN,101.11,103.2013,102.51,588470,2,0.81
0.1876,128.46,0.6373,IBM,127.31,129.84,128.14,51370,0,-6.94
