low,percentchange,open,symbol,price,relvolume,high,watchers,hourchange,sentiment
443.105,2.5155,445.08,NOC,455.62,0.6742,456.2,8013,-1,-5.0
275.3,0.7671,277.24,MSFT,279.79,0.6699,280.28,442238,2,-2.65
263.55,-1.7322,270.31,NVDA,267.2,0.7945,271.67,420185,0,-1.19
203.55,0.9007,205.18,META,206.12,0.7366,207.574,512060,6,-0.91
192.46,-4.6101,202.35,ENPH,195.225,0.8019,203.55,37274,2,4.85
187.15,-1.1367,191.65,TSLA,190.035,0.5951,192.36,889277,1,-1.76
157.85,0.56,158.86,AAPL,159.82,0.6415,160.06,876381,7,-2.83
123.1163,-1.498,125.63,JPM,124.94,1.3511,125.68,82363,1,-0.86
122.89,1.1875,123.36,IBM,124.835,0.5219,124.97,51325,-1,-0.54
117.61,2.637,118.08,EA,119.1,0.7162,119.2,20719,0,7.14
103.84,-0.4167,104.99,GOOGL,105.16,0.5657,105.385,159715,0,-4.66
96.4,-0.5977,98.065,AMZN,98.12,0.6458,98.295,587040,2,-1.4
96.74,-2.4781,99.18,AMD,97.795,0.9582,99.52,456188,2,-3.33
86.96,-0.6797,88.3,SONY,87.67,1.2019,88.3,2082,0,0.0
28.93,0.9993,29.04,INTC,29.3201,0.9368,29.81,130869,-1,-1.71
7.95,-1.018,8.18,CVNA,8.265,0.2511,8.47,23423,0,-1.35
5.645,-0.6055,5.675,SOFI,5.745,0.4064,5.83,91705,1,-0.2
4.38,-1.3423,4.4,AMC,4.41,0.256,4.54,411924,-4,-0.03
