open,price,high,percentchange,low,relvolume,symbol,watchers,hourchange,sentiment
285.99,288.45,289.05,0.0277,284.54,0.4744,MSFT,443663,6,5.5
225.06,224.27,228.49,-1.5798,222.3,0.5032,ENPH,37473,0,-0.61
179.1,180.59,183.5,-2.0183,177.65,0.6315,TSLA,892183,18,-5.55
5.9,6.08,6.1,1.6722,5.87,0.4953,SOFI,91960,1,1.93
31.1,31.15,31.52,-2.1363,31.0828,0.4343,INTC,131285,0,1.89
8.6,8.63,8.84,-1.9318,8.3,0.2952,CVNA,23286,0,-1.34
91.0,90.97,91.12,-0.3724,90.73,0.5063,SONY,2089,0,0.0
4.95,5.1,5.17,0.9901,4.92,0.3154,AMC,413188,0,-0.1
165.8,167.63,168.16,0.6968,165.54,0.6395,AAPL,878202,6,5.71
273.61,279.31,280.0,0.9542,272.32,0.6812,NVDA,421933,3,5.34
480.46,477.07,482.74,-0.5006,476.24,0.4242,NOC,8043,0,3.33
101.58,104.3,105.12,1.955,101.39,0.8364,AMZN,588753,0,2.42
88.51,89.94,90.54,0.1782,88.22,0.5543,AMD,456906,0,-0.08
103.58,104.18,104.98,-0.3062,103.07,0.4564,GOOGL,160564,1,0.04
126.5,126.32,126.98,-1.1426,125.3,0.9493,IBM,51454,0,-3.05
213.472,215.7,217.33,-1.0051,212.94,0.4728,META,512961,5,3.71
128.58,128.18,128.9,-0.6665,128.075,0.3668,EA,20704,0,10.0
141.23,141.22,141.5,-0.1273,140.41,0.5763,JPM,82988,2,0.49
