relvolume,open,high,percentchange,price,low,symbol,watchers,hourchange,sentiment
0.6939,209.77,214.57,-0.3767,208.9,204.67,ENPH,37428,2,-3.02
0.4028,127.98,128.53,-0.3196,127.87,127.45,EA,20705,0,0.0
0.8867,90.85,91.46,0.4089,90.86,90.412,SONY,2088,0,0.0
0.5598,183.95,186.28,-0.4841,185.0,182.01,TSLA,891431,-4,0.43
0.4201,32.0,32.235,-0.747,31.89,31.69,INTC,131242,1,-1.3
0.9005,5.74,5.75,-6.2271,5.12,4.9,AMC,413215,0,-0.68
0.6398,5.99,6.03,1.0239,5.92,5.77,SOFI,91903,3,-1.02
0.3372,470.55,473.09,-0.3353,472.57,468.765,NOC,8040,0,0.0
0.7461,265.04,268.83,1.1148,267.58,262.2,NVDA,421598,-4,-0.7
0.5743,287.0,288.48,-1.2766,286.14,283.69,MSFT,443406,3,-0.17
0.3345,9.47,9.798,-4.2689,8.97,8.68,CVNA,23324,-1,-2.42
0.5911,91.82,92.97,-0.3692,91.75,90.5,AMD,456773,4,0.49
0.7199,102.07,103.2013,0.1074,102.51,101.11,AMZN,588482,4,1.49
0.6378,217.88,222.11,0.5174,221.49,217.56,META,512857,3,1.17
0.6373,128.46,129.84,0.1876,128.14,127.31,IBM,51370,0,-6.18
0.566,106.89,108.935,1.3404,108.87,106.88,GOOGL,160403,1,-0.64
0.6406,164.59,166.32,-0.2114,165.21,163.83,AAPL,877861,2,1.43
3.0765,135.15,139.12,7.551,138.73,134.9001,JPM,82946,10,5.37
