high,low,relvolume,symbol,open,percentchange,price,watchers,hourchange,sentiment
100.4218,98.5801,0.6207,AMZN,98.69,3.0954,100.25,587352,2,1.22
205.72,202.54,0.5083,META,203.56,2.3271,205.35,512243,1,0.12
130.22,127.77,0.9598,JPM,130.1,0.2017,129.14,82460,1,-0.93
5.9199,5.65,0.7071,SOFI,5.69,2.8623,5.75,91762,2,-1.08
102.43,100.655,0.6183,GOOGL,102.28,0.3563,101.39,159836,0,4.31
5.2084,4.83,0.765,AMC,5.14,-2.9126,5.0,412480,-5,-0.59
205.77,191.385,0.7832,ENPH,196.75,5.3896,203.95,37308,1,-0.62
270.77,265.97,0.7093,NVDA,268.25,2.1734,269.84,420470,0,-1.37
88.02,86.74,1.1442,SONY,86.93,2.3887,87.87,2084,0,0.0
96.91,94.87,0.8339,AMD,96.07,1.618,96.09,456332,0,-0.21
31.89,29.789,1.6683,INTC,29.77,7.6135,31.52,130911,8,7.05
195.28,189.44,0.674,TSLA,193.13,2.479,193.88,889638,9,0.48
7.9,7.37,0.2295,CVNA,7.47,6.9293,7.87,23365,1,-7.63
119.325,118.08,0.4098,EA,118.08,0.9914,119.19,20708,-1,0.0
281.1398,278.41,0.5914,MSFT,278.96,1.9184,280.51,442530,0,-1.71
130.348,129.18,0.4977,IBM,130.12,0.2861,129.71,51343,-1,0.76
161.04,159.35,0.6109,AAPL,159.37,1.9791,160.77,876718,11,-0.3
462.58,457.495,0.4154,NOC,459.38,0.5599,461.57,8021,0,25.0
