relvolume,symbol,low,percentchange,high,price,open,watchers,hourchange,sentiment
0.3273,NOC,472.07,-0.8028,478.4,473.24,478.4,8044,0,13.33
0.4912,MSFT,285.15,-0.7211,289.03,286.37,285.25,443677,1,1.26
0.6335,NVDA,272.6802,-2.2788,280.3,272.945,276.71,421989,3,4.92
0.4562,ENPH,219.31,0.1204,226.26,224.54,220.5,37473,-1,0.5
0.3467,META,213.07,-0.4914,216.75,214.64,213.48,512981,-1,0.61
0.5432,AAPL,165.91,-0.8239,167.87,166.2489,166.09,878261,0,3.26
1.1186,TSLA,161.0,-10.6933,169.55,161.2789,166.165,892380,6,-9.97
0.4622,JPM,140.17,-0.3045,141.4299,140.79,139.91,82976,-3,0.28
0.3932,EA,128.15,0.3121,129.56,128.58,128.28,20703,0,0.0
1.4965,IBM,125.84,0.095,130.98,126.44,130.15,51491,1,-1.45
0.4707,GOOGL,103.8684,0.8495,106.25,105.065,103.91,160574,0,-1.58
0.6682,AMZN,103.38,-0.6711,105.24,103.6,103.53,588810,5,0.15
0.5441,SONY,90.915,0.5496,92.275,91.47,90.97,2091,1,0.0
0.6135,AMD,88.75,0.1549,91.575,90.0793,88.825,456927,-4,-0.69
0.4013,INTC,30.71,-0.8186,31.25,30.895,30.76,131298,0,0.64
0.2992,CVNA,7.94,-7.0881,8.51,8.0183,8.3,23282,-1,0.23
0.4087,SOFI,5.9,-2.597,6.045,5.9221,5.9,91960,-1,0.97
0.1982,AMC,4.89,-2.451,5.02,4.975,5.0,413182,-6,0.79
