percentchange,high,low,symbol,open,relvolume,price,watchers,hourchange,sentiment
0.166,103.2013,101.11,AMZN,102.07,0.7199,102.57,588467,1,0.2
1.359,108.935,106.88,GOOGL,106.89,0.566,108.89,160403,0,-2.01
7.5972,139.12,134.95,JPM,135.15,3.0765,138.7896,82922,-1,7.84
-0.1903,166.32,163.83,AAPL,164.59,0.6406,165.245,877848,-3,1.05
-0.3118,128.53,127.45,EA,127.98,0.4028,127.88,20705,0,10.0
0.4034,91.44,90.412,SONY,90.85,0.8867,90.855,2088,0,0.0
-0.3338,214.57,204.67,ENPH,209.77,0.6939,208.99,37423,0,-3.47
-0.468,186.28,182.01,TSLA,183.95,0.5598,185.03,891423,10,-0.09
-0.6536,32.235,31.69,INTC,32.0,0.4201,31.92,131239,0,-1.9
1.0239,6.03,5.77,SOFI,5.99,0.6398,5.92,91903,-10,-0.49
-6.2271,5.75,4.9,AMC,5.74,0.9005,5.12,413217,-3,-0.28
-0.3801,92.97,90.5,AMD,91.82,0.5911,91.74,456765,-5,-0.81
1.1223,268.83,262.2,NVDA,265.04,0.7461,267.6,421586,2,-2.12
-1.2593,288.48,283.69,MSFT,287.0,0.5743,286.19,443394,2,-0.1
-0.2868,473.09,468.94,NOC,470.55,0.3372,472.8,8041,0,8.57
0.2189,129.84,127.31,IBM,128.46,0.6373,128.18,51370,1,-3.15
0.5491,222.11,217.56,META,217.88,0.6378,221.56,512836,1,-0.2
-4.1622,9.798,8.68,CVNA,9.47,0.3345,8.98,23330,0,-1.34
