percentchange,open,relvolume,high,low,symbol,price,watchers,hourchange,sentiment
-0.2667,450.22,0.3451,452.4,446.65,NOC,448.78,8008,2,-27.27
1.5049,273.4,0.6406,279.99,272.63,MSFT,277.9,442073,5,3.01
4.0517,264.25,1.1148,274.5,262.37,NVDA,272.605,419748,15,2.51
0.0806,209.65,0.5049,210.77,204.61,ENPH,207.7973,37243,2,-0.12
1.2614,202.5,0.5515,207.37,201.84,META,204.71,511866,9,2.95
-0.4555,199.3,0.5773,200.66,194.5901,TSLA,196.68,889091,6,-0.23
0.9417,159.3,0.5682,161.61,159.118,AAPL,160.78,876224,3,3.58
-0.6511,130.56,0.7409,130.655,128.84,JPM,129.7,82272,3,1.25
-0.3516,127.0,0.3092,127.215,125.68,IBM,126.125,51323,-1,13.04
-0.348,114.29,0.5589,114.78,113.83,EA,114.54,20724,-2,25.0
0.2668,104.27,0.7222,106.3,103.67,GOOGL,105.1999,159658,4,-4.34
0.0298,100.45,0.4856,101.93,99.35,AMZN,100.64,586914,8,0.91
4.3886,95.65,1.3141,100.91,95.645,AMD,100.14,456033,13,-1.83
-1.2085,88.91,0.6391,88.91,87.8087,SONY,88.29,2081,0,0.0
1.0541,28.48,0.429,28.92,28.31,INTC,28.76,130860,1,-2.07
11.2232,10.15,1.5981,10.25,8.46,CVNA,8.82,23487,7,9.5
3.0162,5.79,1.19,6.03,5.66,SOFI,5.738,91649,3,2.97
3.288,4.73,0.6753,4.73,4.47,AMC,4.555,411920,-3,4.45
