price,symbol,open,relvolume,high,low,percentchange,watchers,hourchange,sentiment
460.175,NOC,462.98,0.209,463.4,460.09,-0.1746,8026,0,0.0
286.56,MSFT,283.73,0.4994,287.1769,283.03,0.8836,442653,11,3.21
276.65,NVDA,271.4,0.594,278.34,271.05,1.0298,420625,17,5.53
209.91,META,207.24,0.4901,210.54,206.77,0.996,512341,11,6.72
208.65,ENPH,206.02,0.4126,212.12,205.81,1.6466,37334,0,-0.22
206.925,TSLA,197.53,0.7512,207.18,197.23,5.9632,889848,22,8.42
164.035,AAPL,162.44,0.446,164.175,162.13,1.0317,876824,9,5.37
130.45,IBM,129.47,0.2976,130.535,129.42,0.9519,51346,0,-0.09
129.62,JPM,129.66,0.485,130.01,128.8514,0.6757,82488,1,-0.83
119.8,EA,119.38,0.4438,119.9,118.985,0.5877,20709,0,-12.5
102.919,AMZN,102.16,0.4534,103.29,101.95,0.901,587477,9,2.16
102.7,GOOGL,101.3,0.4415,103.25,101.05,1.794,159928,5,4.67
97.67,AMD,96.34,0.6534,97.975,95.27,-0.2145,456396,4,3.59
90.28,SONY,89.77,1.1013,90.88,89.79,1.0861,2083,1,0.0
32.73,INTC,31.8,0.7556,32.8998,31.74,1.9944,131091,5,-0.02
9.405,CVNA,8.9,0.3602,9.48,8.77,6.5119,23358,0,3.0
6.05,SOFI,5.75,0.8872,6.17,5.67,5.7692,91781,1,0.98
4.96,AMC,4.91,0.3203,5.055,4.87,-0.2012,412473,3,-0.05
