high,relvolume,price,low,open,percentchange,symbol,watchers,hourchange,sentiment
32.58,1.4198,32.09,31.81,31.85,1.8084,INTC,131054,4,5.34
99.53,0.8812,97.88,97.25,98.0,1.8628,AMD,456363,-2,-2.75
103.04,0.6777,102.0,101.01,101.55,1.7456,AMZN,587425,-9,3.52
462.92,0.3938,460.98,458.5,460.46,-0.1278,NOC,8023,0,0.0
131.48,0.5487,129.22,129.1,130.16,-0.3778,IBM,51343,-2,8.71
197.328,0.6092,195.28,194.42,195.58,0.7221,TSLA,889744,-1,4.67
9.0,0.5721,8.83,8.0748,8.08,12.1982,CVNA,23366,-1,-5.66
120.05,0.5217,119.1,118.85,120.0,-0.0755,EA,20710,0,5.56
89.53,1.4544,89.31,88.555,88.7,1.6388,SONY,2082,0,0.0
274.99,0.6652,273.83,271.02,272.29,1.4787,NVDA,420571,2,2.95
284.46,0.6427,284.05,281.5,284.23,1.262,MSFT,442599,3,0.17
5.16,0.5325,4.97,4.865,5.11,-0.6,AMC,412474,-2,0.68
162.47,0.5827,162.36,161.271,161.53,0.989,AAPL,876767,-15,3.84
208.09,0.6432,207.84,202.85,203.38,1.2126,META,512298,-4,6.71
130.12,0.7826,128.75,127.65,129.95,-0.302,JPM,82474,-3,1.4
214.19,0.6629,205.27,203.96,209.435,0.6472,ENPH,37320,-1,-2.09
101.155,0.6807,100.89,99.78,100.91,-0.4931,GOOGL,159888,7,3.5
5.93,0.6344,5.72,5.62,5.87,-0.5217,SOFI,91769,0,-1.27
