relvolume,low,open,symbol,percentchange,high,price,watchers,hourchange,sentiment
0.6939,204.67,209.77,ENPH,-0.3767,214.57,208.9,37422,0,-3.37
0.4028,127.45,127.98,EA,-0.3196,128.53,127.87,20705,0,0.0
0.8867,90.412,90.85,SONY,0.4089,91.46,90.86,2088,0,0.0
0.5598,182.01,183.95,TSLA,-0.4841,186.28,185.0,891426,0,0.32
0.4201,31.69,32.0,INTC,-0.747,32.235,31.89,131241,1,-1.8
0.6398,5.77,5.99,SOFI,1.0239,6.03,5.92,91899,0,-0.87
0.9005,4.9,5.74,AMC,-6.2271,5.75,5.12,413214,-1,-0.51
0.3372,468.765,470.55,NOC,-0.3353,473.09,472.57,8040,0,13.33
0.5743,283.69,287.0,MSFT,-1.2766,288.48,286.14,443403,4,-0.46
0.7461,262.2,265.04,NVDA,1.1148,268.83,267.58,421597,2,-0.9
0.5911,90.5,91.82,AMD,-0.3692,92.97,91.75,456769,-1,0.2
0.3345,8.68,9.47,CVNA,-4.2689,9.798,8.97,23325,1,-2.15
0.6378,217.56,217.88,META,0.5174,222.11,221.49,512854,0,1.19
0.6373,127.31,128.46,IBM,0.1876,129.84,128.14,51370,0,-6.55
0.7199,101.11,102.07,AMZN,0.1074,103.2013,102.51,588473,3,0.91
0.566,106.88,106.89,GOOGL,1.3404,108.935,108.87,160402,2,-0.49
3.0765,134.9001,135.15,JPM,7.551,139.12,138.73,82936,4,5.98
0.6406,163.83,164.59,AAPL,-0.2114,166.32,165.21,877855,0,1.6
