price,relvolume,low,percentchange,high,symbol,open,watchers,hourchange,sentiment
32.67,1.0575,31.74,1.8074,32.8998,INTC,31.8,131091,-3,-0.12
98.01,0.8317,95.27,0.1328,98.36,AMD,96.34,456390,0,4.05
9.79,0.475,8.77,10.872,9.79,CVNA,8.9,23370,-3,7.44
207.46,0.9318,197.23,6.2372,207.79,TSLA,197.53,889876,3,8.02
164.9,0.7363,162.13,1.5644,165.0,AAPL,162.44,876844,1,5.1
120.45,0.6957,118.985,1.1335,120.53,EA,119.38,20709,0,0.0
288.3,0.7248,283.03,1.4962,288.81,MSFT,283.73,442663,2,2.55
130.31,0.7219,128.8514,1.2117,130.34,JPM,129.66,82481,-2,-2.16
103.73,0.6778,101.05,2.8149,103.89,GOOGL,101.3,159926,-2,3.16
103.29,0.6381,101.95,1.2647,103.42,AMZN,102.16,587486,1,2.6
90.65,1.4706,89.75,1.5004,90.92,SONY,89.77,2084,0,0.0
277.77,0.7758,271.05,1.4388,278.34,NVDA,271.4,420633,-2,4.33
210.28,0.544,205.81,2.4407,212.12,ENPH,206.02,37336,0,-0.74
131.09,0.5809,129.42,1.4471,131.23,IBM,129.47,51346,0,2.13
6.07,1.0566,5.67,6.1189,6.17,SOFI,5.75,91783,0,1.46
461.72,0.4159,459.45,0.1605,463.32,NOC,462.98,8028,1,0.0
5.01,0.4763,4.87,0.8048,5.055,AMC,4.91,412471,-2,0.16
211.94,0.653,206.77,1.9727,212.17,META,207.24,512333,4,3.85
