low,open,symbol,price,high,percentchange,relvolume,watchers,hourchange,sentiment
31.96,32.77,INTC,32.04,32.89,-0.9583,0.5877,131234,-2,-3.82
5.67,6.06,SOFI,5.825,6.05,-2.4288,0.9555,91919,-3,0.41
128.18,130.4,IBM,128.525,130.87,-1.453,0.6074,51367,0,-2.02
466.03,467.43,NOC,472.79,474.7299,0.9653,0.4255,8038,0,0.0
125.82,126.28,EA,126.11,127.1812,0.3421,0.4105,20701,0,-29.17
91.74,94.97,AMD,92.25,94.995,-1.893,0.8136,456743,0,6.05
8.79,9.79,CVNA,9.24,10.32,-5.3279,0.5844,23327,-3,7.13
281.96,284.79,MSFT,283.44,287.01,0.2157,0.7301,443292,-3,-1.14
159.78,161.22,AAPL,160.09,162.06,-0.4415,0.6508,877680,4,1.44
5.34,5.62,AMC,5.34,5.74,-1.6575,0.827,413219,-2,0.98
89.29,90.0,SONY,89.38,90.4,0.5286,0.4882,2089,0,0.0
264.4786,273.7,NVDA,264.71,274.63,-2.5691,0.8408,421423,5,3.47
212.584,214.835,META,213.99,216.84,0.0655,0.5478,512757,3,-1.12
128.0603,129.18,JPM,128.51,130.43,-0.0078,0.66,82618,0,1.61
180.32,190.74,TSLA,180.435,191.58,-3.4022,0.8639,891210,-4,-0.11
195.81,199.9,ENPH,195.96,201.26,-0.4673,0.4414,37406,0,1.77
97.705,100.4,AMZN,97.83,100.51,-2.0917,0.7773,588249,4,-1.86
104.34,106.58,GOOGL,104.635,106.75,-0.6787,0.5099,160339,-6,-0.07
