high,low,percentchange,price,open,relvolume,symbol,watchers,hourchange,sentiment
451.41,441.49,-1.7505,442.27,449.81,0.5545,NOC,7996,0,1.39
283.33,276.3201,1.1379,279.343,278.26,1.4155,MSFT,441712,7,2.54
263.99,256.68,1.3586,258.88,259.82,1.111,NVDA,419156,8,5.37
201.9,196.96,-3.8672,197.005,200.56,0.7635,META,511588,-1,1.32
200.7,181.55,-9.4928,182.01,200.7,1.3005,ENPH,37072,17,-3.95
186.21,177.33,-2.672,179.21,184.515,0.5412,TSLA,888606,3,3.31
156.74,154.28,-0.385,155.25,156.08,0.7765,AAPL,875776,2,5.56
128.45,125.66,-3.6979,125.915,128.38,1.5332,JPM,82020,5,5.95
124.2,122.935,-1.1588,123.255,124.08,1.1832,IBM,51323,0,7.41
114.0,113.015,-0.2554,113.24,113.65,0.5218,EA,20736,0,0.0
102.835,100.1,1.2261,101.55,100.26,0.9852,GOOGL,159499,3,2.66
100.65,97.455,-1.2595,98.78,99.79,0.7053,AMZN,586531,6,2.4
98.75,95.94,0.4141,97.0,96.66,1.1598,AMD,455809,4,2.76
87.445,86.19,0.3473,86.69,87.25,0.634,SONY,2077,0,33.33
30.56,29.44,-1.7893,29.64,29.92,0.7589,INTC,130791,0,-1.33
7.9,7.02,3.0364,7.635,7.21,0.3304,CVNA,23309,8,1.11
5.5,5.33,-0.5376,5.4207,5.47,0.4165,SOFI,91540,-1,2.93
4.34,4.108,-2.7335,4.27,4.3,0.4232,AMC,411727,-2,0.17
