open,percentchange,high,symbol,price,relvolume,low,watchers,hourchange,sentiment
459.09,0.6722,459.96,NOC,458.31,0.2344,455.23,8013,0,0.0
280.5,-1.4043,281.4589,MSFT,276.63,0.5169,275.52,442425,5,0.38
268.37,-0.59,269.94,NVDA,266.21,0.5393,263.6501,420365,2,-1.03
204.81,-1.6795,205.86,META,202.55,0.3714,201.37,512182,6,-0.28
199.36,0.3623,200.21,ENPH,196.7,0.4505,191.61,37293,0,0.27
194.415,1.2552,197.39,TSLA,192.8,0.5204,189.94,889468,5,-0.37
159.94,-1.0359,160.77,AAPL,158.59,0.4508,157.87,876585,0,0.28
126.47,3.6795,129.92,IBM,129.9,0.6785,126.47,51335,0,2.27
126.79,3.1383,129.0,JPM,128.83,0.9023,126.29,82429,5,-3.66
118.9,-0.0714,119.4,EA,118.945,0.3603,118.14,20718,0,0.0
104.615,-2.5038,104.76,GOOGL,102.8,0.4907,101.9273,159784,1,-0.41
99.07,0.0713,99.335,AMZN,98.2,0.4379,97.08,587193,-1,-0.93
98.02,-0.929,98.93,AMD,97.04,0.6832,95.425,456271,5,-1.6
87.12,-0.914,87.38,SONY,86.73,0.7843,86.33,2081,0,0.0
29.37,0.4257,29.73,INTC,29.485,0.4386,29.08,130888,0,1.01
8.35,-6.1661,8.3686,CVNA,7.685,0.2074,7.57,23422,-4,-0.56
5.82,1.6551,5.88,SOFI,5.835,0.4235,5.73,91735,2,0.02
4.51,-1.2304,4.5,AMC,4.415,0.3244,4.3,411968,-2,-0.2
