symbol,relvolume,high,open,low,percentchange,price,watchers,hourchange,sentiment
GOOGL,0.6807,101.155,100.91,99.78,-0.4931,100.89,159881,0,3.5
SOFI,0.6344,5.93,5.87,5.62,-0.5217,5.72,91769,0,-1.27
INTC,1.4198,32.58,31.85,31.81,1.8084,32.09,131050,-1,6.04
AMZN,0.6777,103.04,101.55,101.01,1.7456,102.0,587434,-2,4.47
AMD,0.8812,99.53,98.0,97.25,1.8628,97.88,456365,1,-2.53
NOC,0.3938,462.865,460.46,458.615,-0.1278,460.98,8023,0,0.0
IBM,0.5487,131.48,130.16,129.1,-0.3778,129.22,51345,-3,8.71
EA,0.5217,120.05,120.0,118.85,-0.0755,119.1,20710,0,5.56
MSFT,0.6427,284.46,284.23,281.5,1.262,284.05,442596,0,0.56
CVNA,0.5721,9.0,8.08,8.0748,12.1982,8.83,23367,3,-5.48
TSLA,0.6092,197.328,195.58,194.42,0.7221,195.28,889745,9,4.92
SONY,1.4544,89.53,88.7,88.64,1.6388,89.31,2082,0,0.0
NVDA,0.6652,274.99,272.29,271.02,1.4787,273.83,420569,3,4.04
AMC,0.5325,5.16,5.11,4.87,-0.6,4.97,412476,-4,0.76
AAPL,0.5827,162.47,161.53,161.271,0.989,162.36,876782,0,4.8
ENPH,0.6629,214.19,209.435,203.96,0.6472,205.27,37321,0,-2.07
JPM,0.7826,130.12,129.95,127.65,-0.302,128.75,82477,3,1.17
META,0.6432,208.09,203.38,202.85,1.2126,207.84,512302,8,7.1
