high,symbol,price,percentchange,low,relvolume,open,watchers,hourchange,sentiment
100.4218,AMZN,100.25,3.0954,98.5801,0.6207,98.69,587352,2,1.22
205.72,META,205.35,2.3271,202.54,0.5083,203.56,512243,1,0.12
130.22,JPM,129.14,0.2017,127.77,0.9598,130.1,82460,1,-0.93
5.9199,SOFI,5.75,2.8623,5.65,0.7071,5.69,91762,2,-1.08
102.43,GOOGL,101.39,0.3563,100.655,0.6183,102.28,159836,0,4.31
5.2084,AMC,5.0,-2.9126,4.83,0.765,5.14,412480,-5,-0.59
205.77,ENPH,203.95,5.3896,191.385,0.7832,196.75,37308,1,-0.62
270.77,NVDA,269.84,2.1734,265.97,0.7093,268.25,420470,0,-1.37
88.02,SONY,87.87,2.3887,86.74,1.1442,86.93,2084,0,0.0
96.91,AMD,96.09,1.618,94.87,0.8339,96.07,456332,0,-0.21
31.89,INTC,31.52,7.6135,29.789,1.6683,29.77,130911,8,7.05
195.28,TSLA,193.88,2.479,189.44,0.674,193.13,889638,9,0.48
7.9,CVNA,7.87,6.9293,7.37,0.2295,7.47,23365,1,-7.63
119.325,EA,119.19,0.9914,118.08,0.4098,118.08,20708,-1,0.0
281.1398,MSFT,280.51,1.9184,278.41,0.5914,278.96,442530,0,-1.71
130.348,IBM,129.71,0.2861,129.18,0.4977,130.12,51343,-1,0.76
161.04,AAPL,160.77,1.9791,159.35,0.6109,159.37,876718,11,-0.3
462.58,NOC,461.57,0.5599,457.495,0.4154,459.38,8021,0,25.0
