low,symbol,high,open,relvolume,percentchange,price,watchers,hourchange,sentiment
104.52,GOOGL,106.155,104.658,0.816,-2.6913,105.94,160514,-3,-11.83
471.38,NOC,477.68,472.99,0.4391,0.4698,474.79,8041,1,8.33
31.77,INTC,32.64,31.95,0.5168,0.7839,32.14,131269,1,3.52
286.2,MSFT,291.58,289.93,0.6118,0.8947,288.7,443539,0,2.08
90.35,SONY,91.23,90.55,0.9083,0.3093,91.141,2088,0,0.0
101.59,AMZN,103.73,103.16,0.5299,0.2536,102.77,588603,0,-0.62
214.7801,ENPH,229.23,215.0,1.7249,7.707,225.0,37467,2,3.39
127.14,EA,128.42,127.37,0.4493,0.1642,128.08,20707,1,-10.0
264.36,NVDA,270.0,265.655,0.5878,0.8969,269.98,421728,-1,-1.66
137.66,JPM,140.06,139.95,1.0164,0.7731,139.8025,82971,3,0.57
5.81,SOFI,6.0,5.89,0.6655,0.5912,5.955,91912,-2,-0.12
5.1301,AMC,5.3,5.24,0.3666,1.5625,5.2,413208,0,-1.15
217.13,META,220.979,219.79,0.4402,-1.1874,218.86,512900,-2,0.22
8.68,CVNA,9.2192,8.91,0.273,1.2263,9.08,23314,1,-1.38
164.03,AAPL,165.39,165.09,0.5412,-0.0048,165.2021,878002,-3,1.8
88.3,AMD,90.69,90.23,0.7217,-2.0436,89.875,456844,-1,-2.47
182.7,TSLA,189.69,186.32,0.6825,1.0514,186.945,891645,7,0.2
126.8,IBM,128.72,128.3,0.5124,-0.2731,127.79,51378,1,-3.45
