open,price,high,low,symbol,relvolume,percentchange,watchers,hourchange,sentiment
166.1,166.47,167.41,165.65,AAPL,0.6295,0.7505,878098,4,3.87
106.49,104.5,106.515,104.07,GOOGL,0.5757,-1.3872,160554,0,-2.65
187.15,184.31,187.69,183.5887,TSLA,0.5393,-1.4596,891798,4,-0.73
9.22,8.8,9.285,8.76,CVNA,0.2683,-2.8698,23297,1,-4.14
219.91,217.89,220.44,216.215,META,0.3488,-0.4432,512946,-2,1.03
291.57,288.37,291.6,287.02,MSFT,0.5165,-0.1489,443620,1,4.77
140.27,141.4,141.78,139.03,JPM,0.8356,1.1228,82990,1,-0.52
225.43,227.87,231.31,222.23,ENPH,0.8254,1.3116,37486,0,-1.64
475.74,479.47,483.4,475.74,NOC,0.6483,0.9857,8043,0,-11.11
103.95,102.3,104.2,101.52,AMZN,0.555,-0.4283,588663,4,1.28
128.81,129.04,129.38,127.82,EA,0.5166,0.7495,20704,0,0.0
128.14,127.78,128.68,127.35,IBM,0.4769,-0.0313,51378,-1,-0.62
6.0,5.98,6.02,5.895,SOFI,0.4567,0.3356,91919,-1,-0.93
5.23,5.05,5.212,4.98,AMC,0.3403,-2.8846,413181,-3,-1.82
32.43,31.83,32.46,31.785,INTC,0.4755,-0.9645,131278,0,0.54
275.335,276.67,281.0802,273.57,NVDA,1.1798,2.4628,421845,0,-0.04
91.61,89.78,92.16,89.33,AMD,0.6994,-0.1001,456871,2,2.78
91.57,91.31,91.86,90.99,SONY,0.8545,0.1755,2087,0,0.0
