relvolume,high,open,price,low,percentchange,symbol,watchers,hourchange,sentiment
0.4634,128.72,126.58,128.28,126.58,1.7046,EA,20702,0,6.67
0.602,289.9,283.59,289.84,283.17,2.2399,MSFT,443359,4,1.77
0.7779,129.035,128.46,128.99,126.84,0.3813,JPM,82728,-3,6.94
0.3826,476.065,472.0,474.16,469.78,0.294,NOC,8040,1,-16.67
0.3162,9.76,9.27,9.37,9.201,1.4069,CVNA,23339,0,2.02
0.5437,5.98,5.91,5.86,5.825,0.6873,SOFI,91914,2,1.7
0.474,32.4252,31.82,32.13,31.65,0.3435,INTC,131236,4,6.29
0.5101,107.49,105.84,107.43,105.9,2.6663,GOOGL,160363,1,-1.35
0.7734,90.83,90.1,90.49,90.0,1.174,SONY,2088,0,0.0
0.6485,186.5,182.955,185.9,180.94,2.9689,TSLA,891324,5,1.21
0.6771,221.15,215.73,220.35,215.82,2.9673,META,512808,8,2.53
0.6105,93.16,92.79,92.09,91.83,-0.2599,AMD,456769,6,0.89
0.9909,211.55,200.01,209.69,198.52,6.9683,ENPH,37427,2,-4.96
0.6485,268.869,267.34,264.63,263.29,-0.1208,NVDA,421518,3,-2.85
0.5092,5.66,5.48,5.46,5.39,2.2472,AMC,413225,3,-2.85
0.8567,165.8,161.63,165.56,161.44,3.4104,AAPL,877766,8,4.7
0.8901,128.39,128.01,127.9,126.01,-0.4979,IBM,51368,2,6.94
0.9312,102.56,98.95,102.4,98.73,4.6714,AMZN,588392,10,4.78
