open,high,price,percentchange,low,symbol,relvolume,watchers,hourchange,sentiment
7.21,7.9,7.65,3.2389,7.02,CVNA,0.4207,23303,-5,0.27
96.66,98.75,97.84,1.2836,95.94,AMD,1.4973,455821,-2,-0.24
184.515,186.21,180.13,-2.1724,177.33,TSLA,0.6722,888629,3,1.1
124.08,124.52,123.69,-0.8099,122.93,IBM,2.0994,51324,0,1.4
113.65,114.0,113.35,-0.1585,112.98,EA,0.7406,20735,0,-25.0
278.26,283.33,279.43,1.1694,276.3201,MSFT,1.7577,441748,4,-1.58
128.38,128.45,125.81,-3.7782,125.46,JPM,2.2173,82039,1,4.66
449.81,450.16,443.6,-1.4551,441.305,NOC,0.8804,7998,0,3.41
200.56,201.9,195.61,-4.5479,195.4304,META,1.116,511612,1,-1.09
5.47,5.54,5.46,0.1835,5.33,SOFI,0.6642,91542,0,5.29
99.79,100.65,98.95,-1.0896,97.455,AMZN,0.8764,586546,-6,2.06
4.3,4.34,4.18,-4.7836,4.1078,AMC,0.6185,411723,1,-0.13
29.92,30.56,29.81,-1.226,29.44,INTC,1.0943,130795,0,-4.25
100.26,102.835,101.62,1.2959,100.1,GOOGL,1.2376,159514,-2,1.05
156.08,156.74,155.0,-0.5454,154.28,AAPL,0.9896,875804,-3,4.59
87.25,87.47,86.52,0.1505,86.18,SONY,1.0052,2077,0,33.33
259.82,263.99,257.25,0.7204,256.68,NVDA,1.3828,419192,3,2.58
200.7,200.7,183.64,-8.6822,181.55,ENPH,1.684,37123,6,-3.29
