percentchange,low,relvolume,price,high,open,symbol,watchers,hourchange,sentiment
0.1642,127.14,0.4493,128.08,128.42,127.37,EA,20704,-2,-10.0
0.9119,264.36,0.5878,270.02,270.06,265.655,NVDA,421747,7,-1.17
1.0033,8.68,0.273,9.06,9.2192,8.91,CVNA,23312,0,-1.03
1.5625,5.1301,0.3666,5.2,5.3,5.24,AMC,413211,-2,-1.77
-2.049,88.3,0.7217,89.87,90.69,90.23,AMD,456852,0,-2.94
0.6757,5.81,0.6655,5.96,6.0,5.89,SOFI,91921,1,0.21
-1.1874,217.13,0.4402,218.86,220.979,219.79,META,512927,3,0.34
0.7929,137.66,1.0164,139.83,140.06,139.95,JPM,82978,2,0.54
0.0121,164.03,0.5412,165.23,165.39,165.09,AAPL,878015,0,2.83
-0.2497,126.8,0.5124,127.82,128.72,128.3,IBM,51377,-1,-5.04
1.1027,182.7,0.6825,187.04,189.69,186.32,TSLA,891682,8,0.44
0.4698,471.38,0.4391,474.79,477.68,472.99,NOC,8041,0,6.35
-2.6637,104.52,0.816,105.97,106.155,104.658,GOOGL,160537,0,-11.86
0.7839,31.77,0.5168,32.14,32.64,31.95,INTC,131274,0,4.28
0.3192,90.35,0.9083,91.15,91.23,90.55,SONY,2088,0,0.0
0.9296,286.2,0.6118,288.8,291.58,289.93,MSFT,443563,4,2.73
7.6687,214.7801,1.7249,224.92,229.23,215.0,ENPH,37481,4,3.52
0.2244,101.59,0.5299,102.74,103.73,103.16,AMZN,588622,3,0.14
