low,open,percentchange,symbol,high,price,relvolume,watchers,hourchange,sentiment
163.83,164.59,-0.2114,AAPL,166.32,165.21,0.6406,877855,0,1.6
204.67,209.77,-0.3767,ENPH,214.57,208.9,0.6939,37422,0,-3.37
127.45,127.98,-0.3196,EA,128.53,127.87,0.4028,20705,0,0.0
182.01,183.95,-0.4841,TSLA,186.28,185.0,0.5598,891426,0,0.32
90.412,90.85,0.4089,SONY,91.46,90.86,0.8867,2088,0,0.0
31.69,32.0,-0.747,INTC,32.235,31.89,0.4201,131241,1,-1.8
5.77,5.99,1.0239,SOFI,6.03,5.92,0.6398,91899,0,-0.87
4.9,5.74,-6.2271,AMC,5.75,5.12,0.9005,413214,-1,-0.51
262.2,265.04,1.1148,NVDA,268.83,267.58,0.7461,421597,2,-0.9
283.69,287.0,-1.2766,MSFT,288.48,286.14,0.5743,443403,4,-0.46
90.5,91.82,-0.3692,AMD,92.97,91.75,0.5911,456769,-1,0.2
468.765,470.55,-0.3353,NOC,473.09,472.57,0.3372,8040,0,13.33
8.68,9.47,-4.2689,CVNA,9.798,8.97,0.3345,23325,1,-2.15
127.31,128.46,0.1876,IBM,129.84,128.14,0.6373,51370,0,-6.55
217.56,217.88,0.5174,META,222.11,221.49,0.6378,512854,0,1.19
101.11,102.07,0.1074,AMZN,103.2013,102.51,0.7199,588473,3,0.91
106.88,106.89,1.3404,GOOGL,108.935,108.87,0.566,160402,2,-0.49
134.9001,135.15,7.551,JPM,139.12,138.73,3.0765,82936,4,5.98
