low,price,symbol,relvolume,percentchange,open,high,watchers,hourchange,sentiment
465.19,469.38,NOC,0.2809,0.0405,468.73,471.7399,8034,0,0.0
286.33,287.108,MSFT,0.5321,-0.0425,287.23,290.4499,442888,2,0.6
274.89,275.22,NVDA,0.5402,-1.5841,279.66,280.0,420921,10,2.45
212.54,214.02,META,0.4751,0.4459,213.39,216.24,512512,15,5.5
198.65,202.245,ENPH,0.3599,-0.1752,202.89,203.2,37367,0,0.85
190.6,191.39,TSLA,0.6045,-1.7354,197.32,198.7446,890479,15,1.04
165.418,165.805,AAPL,0.4252,-0.2197,166.595,166.83,877179,7,2.74
130.9,131.055,IBM,0.3573,-0.761,131.99,132.13,51355,0,0.0
127.41,127.98,JPM,0.5447,-1.6749,130.5,130.57,82528,1,3.09
121.23,125.05,EA,0.8148,3.049,121.43,125.47,20707,0,0.0
104.04,104.605,GOOGL,0.4073,0.2348,104.33,105.58,160040,0,4.33
102.11,103.6,AMZN,0.4425,1.162,102.75,103.765,587774,10,1.89
95.73,95.89,AMD,0.4996,-0.6939,97.038,97.27,456534,10,-1.22
90.36,91.0,SONY,0.5528,-0.3613,90.78,91.145,2087,0,0.0
32.91,33.13,INTC,0.8414,0.7297,32.85,33.84,131179,0,3.08
8.93,9.475,CVNA,0.2808,1.9914,9.44,9.72,23344,-1,-3.89
5.835,5.895,SOFI,0.362,-2.2388,6.1,6.095,91855,3,-0.78
3.9,3.92,AMC,2.102,-23.2877,4.08,4.45,412828,10,-3.84
